dimension,segment,accounts,churned,churn_rate,ci_low,ci_high,lift_vs_overall
plan_tier,Basic,168,37,0.22023809523809523,0.1642172633580192,0.2887668963139309,1.001082251082251
plan_tier,Enterprise,154,34,0.22077922077922077,0.16251253444507763,0.29263695135830126,1.0035419126328218
plan_tier,Pro,178,39,0.21910112359550563,0.16462272737764352,0.285447676541599,0.9959141981613892
highest_plan_tier,Enterprise,479,108,0.2254697286012526,0.19031566975451716,0.2649920814846602,1.0248624027329665
highest_plan_tier,Pro,21,2,0.09523809523809523,0.026518767438074492,0.28914139073918255,0.4329004329004329
industry,Cybersecurity,100,16,0.16,0.1009528848880478,0.24420269389270247,0.7272727272727273
industry,DevTools,113,35,0.30973451327433627,0.23191669691763725,0.40006324895082235,1.407884151246983
industry,EdTech,79,13,0.16455696202531644,0.09876707200220358,0.26145665227194703,0.7479861910241656
industry,FinTech,112,25,0.22321428571428573,0.15601171396569474,0.30877403173207785,1.0146103896103897
industry,HealthTech,96,21,0.21875,0.1477634508087754,0.3113790673611671,0.9943181818181818
country,AU,32,4,0.125,0.0497013438748007,0.2806830548165023,0.5681818181818182
country,CA,23,4,0.17391304347826086,0.06978653563062565,0.3713764764022614,0.7905138339920948
country,DE,25,8,0.32,0.1720519030690798,0.5158973072689776,1.4545454545454546
country,FR,22,5,0.22727272727272727,0.10123039985248514,0.43439953175221724,1.0330578512396693
country,IN,49,10,0.20408163265306123,0.1148184960578213,0.3363700091951255,0.927643784786642
country,UK,58,11,0.1896551724137931,0.10934251661120264,0.3085237387049923,0.8620689655172413
country,US,291,68,0.23367697594501718,0.1887201086171697,0.28557363345028414,1.0621680724773508
referral_source,ads,98,23,0.23469387755102042,0.16178478951873154,0.32761765421930306,1.0667903525046383
referral_source,event,96,29,0.3020833333333333,0.21931158499064565,0.4000850018696842,1.3731060606060606
referral_source,organic,114,20,0.17543859649122806,0.11653758961213888,0.25550005536816184,0.7974481658692184
referral_source,other,103,25,0.24271844660194175,0.17015036749176587,0.33378751781035415,1.1032656663724625
referral_source,partner,89,13,0.14606741573033707,0.08739460273413963,0.2340292438937695,0.6639427987742594
signup_quarter,2023Q1,55,16,0.2909090909090909,0.1877119355395953,0.4214072049275499,1.322314049586777
signup_quarter,2023Q2,54,13,0.24074074074074073,0.14644291495284428,0.36947524183502795,1.0942760942760943
signup_quarter,2023Q3,53,11,0.20754716981132076,0.12004598026413955,0.33457744701647923,0.9433962264150944
signup_quarter,2023Q4,65,18,0.27692307692307694,0.18293583812830108,0.3958063835388198,1.2587412587412588
signup_quarter,2024Q1,56,11,0.19642857142857142,0.1133859567432366,0.3184460762645841,0.8928571428571428
signup_quarter,2024Q2,65,15,0.23076923076923078,0.14513834846161028,0.34644709148146663,1.048951048951049
signup_quarter,2024Q3,72,14,0.19444444444444445,0.11951479379450561,0.3003275894588854,0.8838383838383839
signup_quarter,2024Q4,80,12,0.15,0.08794040506163546,0.24413228561323347,0.6818181818181818
tenure_bucket,0-6 months,150,25,0.16666666666666666,0.11551429874304299,0.2344658641690081,0.7575757575757576
tenure_bucket,6-12 months,123,27,0.21951219512195122,0.1554750287893996,0.3005387963311399,0.9977827050997783
tenure_bucket,12-18 months,114,28,0.24561403508771928,0.17574733665555503,0.33206595265332933,1.1164274322169059
tenure_bucket,18-24 months,113,30,0.26548672566371684,0.19275639331543282,0.3536374934526686,1.2067578439259856
engagement_segment,Power Accounts,97,21,0.21649484536082475,0.14618778380932268,0.30840162174662705,0.9840674789128397
