feature,coefficient,odds_ratio_per_unit
cat__country_DE,0.6995389229201562,2.0128244262736255
cat__industry_DevTools,0.576137743971846,1.779153597107945
cat__referral_source_event,0.49674679741224903,1.6433663614208975
cat__country_FR,0.4687207185136861,1.5979486589537941
cat__industry_HealthTech,0.4529111564842885,1.572884439723036
cat__country_US,0.4029651022067985,1.4962546747662437
cat__referral_source_other,0.3336477612115997,1.3960513135355577
num__distinct_features,0.31225419657945686,1.3665020090208553
num__error_rate,-0.3016853435992548,0.7395707389482351
num__beta_event_share,-0.281813364437131,0.7544144719643211
cat__industry_EdTech,-0.21890350512272155,0.8033992383243244
cat__referral_source_organic,-0.21348177158726786,0.807766884324522
num__avg_first_response_minutes,-0.21025151061946376,0.81038040106001
num__n_subscriptions,-0.14543323409686149,0.8646476171258867
cat__is_trial_True,0.1451587630882417,1.1562231212505019
num__avg_resolution_hours,-0.13620020539044042,0.8726679021802474
cat__plan_tier_Pro,-0.13104990276922496,0.8771739998871316
num__total_duration_hours,-0.12725769466445636,0.8805067414696478
cat__country_IN,0.1225132654575946,1.1303341143738197
num__seats,-0.11817724566036321,0.8885385490547331
cat__referral_source_partner,-0.11078282464133837,0.8951331286792918
num__total_usage_count,0.09754874866235365,1.10246518395639
num__n_high_urgent_tickets,-0.09505129199919524,0.9093262921086087
num__annual_share,-0.09163319489733039,0.9124397757356599
cat__plan_tier_Enterprise,-0.07791988669357698,0.925038531470429
num__tenure_days,0.07290348527733334,1.0756267180903722
num__n_downgrades,-0.06435317698970416,0.9376737762423326
cat__country_CA,0.056366129101309816,1.057984971920516
cat__country_UK,0.0559940174000285,1.057591356571665
num__n_tickets,-0.05416446190725649,0.9472763028228033
num__n_trial_subscriptions,0.05291127974622175,1.0543361000033842
num__csat_responses,0.04984791745532472,1.0511112285494046
cat__industry_FinTech,0.04075743706323172,1.041599421486213
num__n_escalations,0.03687812185007007,1.0375665564393621
num__auto_renew_share,-0.03436021772199487,0.9662233911540482
num__avg_satisfaction,0.0340706934673218,1.0346577476864687
num__avg_minutes_per_event,-0.016204548663652438,0.9839260387137204
num__n_upgrades,-0.006853283174766701,0.9931701470152401
