feature,importance_mean,importance_std
error_rate,0.06165280927185686,0.025108391429592758
referral_source,0.03145628621819095,0.011865477795189264
tenure_days,0.02945326278659611,0.015351835948061152
avg_first_response_minutes,0.026366843033509682,0.03398135187733984
avg_resolution_hours,0.016187956664147123,0.015703568114053833
n_high_urgent_tickets,0.014462081128747773,0.01399491986084964
seats,0.012459057697152923,0.011761014237035593
industry,0.010393046107331804,0.007960317738430672
auto_renew_share,0.009196271101032983,0.005962287511312289
n_tickets,0.00794910556815317,0.007883229085243661
avg_minutes_per_event,0.0029100529100528814,0.01713680332296398
csat_responses,0.0026455026455026362,0.003844239077401985
plan_tier,0.0023179642227261063,0.0069170519876795376
is_trial,0.002091206853111627,0.0031282737606790167
n_escalations,0.0012345679012345549,0.0026953044334222832
annual_share,0.0007684555303602606,0.011744810560770572
total_usage_count,0.000340136054421758,0.01186694894988619
n_upgrades,-0.00254472159234066,0.011065397076458186
n_downgrades,-0.0026832955404383794,0.002558311948083361
avg_satisfaction,-0.0031116150163769452,0.008450006393827012
n_trial_subscriptions,-0.003237591332829437,0.006865894163535005
total_duration_hours,-0.004283194759385264,0.00867829622194499
n_subscriptions,-0.005379188712522035,0.005056046552430606
distinct_features,-0.006714537666918634,0.009431925137537824
country,-0.009145880574451992,0.008814418016134608
beta_event_share,-0.013227513227513229,0.02036869918741662
