feature,median_churned,median_retained,mean_churned,mean_retained,n_churned,n_retained,mann_whitney_u,p_value,rank_biserial,p_holm
avg_first_response_minutes,82.5,89.16666666666666,83.11433763536567,88.87983358510701,107,384,17970.0,0.04739069825060004,0.12529205607476634,0.7582511720096007
tenure_days,379.5,301.0,371.6727272727273,329.43333333333334,110,390,23982.0,0.05854795482564179,-0.11804195804195805,0.8782193223846269
error_rate,0.053698969009962974,0.05498051713287182,0.053858220294555975,0.057218910943663076,110,390,19341.5,0.11522832829729412,0.09829836829836824,1.0
total_duration_hours,43.58444444444444,41.40416666666667,43.98542676767677,41.76413319088319,110,390,23154.0,0.20306292699620299,-0.07944055944055939,1.0
total_usage_count,527.5,491.0,522.0363636363636,495.1307692307692,110,390,23143.5,0.20585894382071646,-0.07895104895104899,1.0
distinct_features,29.0,28.0,28.336363636363636,27.412820512820513,110,390,23101.0,0.21658723589339746,-0.07696969696969691,1.0
n_subscriptions,10.0,10.0,10.290909090909091,9.917948717948718,110,390,22854.5,0.2920287341872929,-0.06547785547785545,1.0
n_tickets,3.5,4.0,3.9272727272727272,4.02051282051282,110,390,20194.5,0.34185440027435166,0.05853146853146851,1.0
n_escalations,0.0,0.0,0.21818181818181817,0.18205128205128204,110,390,22205.5,0.39889357599163366,-0.03522144522144521,1.0
mrr_at_snapshot,15980.0,17363.5,18846.845454545455,20734.5,110,390,20518.0,0.48641196192238767,0.04344988344988343,1.0
avg_satisfaction,4.0,4.0,4.002591036414566,3.953394819466248,102,364,19288.0,0.5403207411732884,-0.03900021547080379,1.0
seats,13.5,15.0,19.236363636363638,20.933333333333334,110,390,20919.5,0.6919178580020775,0.02473193473193469,1.0
avg_resolution_hours,35.45,36.0,35.4854828042328,36.45030560440717,108,384,20262.0,0.7167861952966362,0.02285879629629628,1.0
n_downgrades,0.0,0.0,0.42727272727272725,0.43846153846153846,110,390,21066.5,0.7334779067293226,0.017878787878787827,1.0
beta_event_share,0.1,0.1,0.10161240826234036,0.10174333145955815,110,390,21225.0,0.8667737552378674,0.010489510489510523,1.0
n_upgrades,1.0,1.0,1.0545454545454545,1.058974358974359,110,390,21300.0,0.9065180266153785,0.006993006993006978,1.0
