feature_name,Cybersecurity,DevTools,EdTech,FinTech,HealthTech
feature_1,0.67,0.6902654867256637,0.7088607594936709,0.6339285714285714,0.7083333333333334
feature_10,0.67,0.6991150442477876,0.6582278481012658,0.6339285714285714,0.7083333333333334
feature_11,0.72,0.7433628318584071,0.6075949367088608,0.6428571428571429,0.7395833333333334
feature_12,0.77,0.6902654867256637,0.7848101265822784,0.75,0.7604166666666666
feature_13,0.65,0.7168141592920354,0.6835443037974683,0.7142857142857143,0.7291666666666666
feature_14,0.72,0.7168141592920354,0.7215189873417721,0.6964285714285714,0.6666666666666666
feature_15,0.71,0.6637168141592921,0.7088607594936709,0.7053571428571429,0.7291666666666666
feature_16,0.63,0.6814159292035398,0.7215189873417721,0.6607142857142857,0.6875
feature_17,0.72,0.7876106194690266,0.6708860759493671,0.7589285714285714,0.6979166666666666
feature_18,0.61,0.6991150442477876,0.5949367088607594,0.7410714285714286,0.59375
feature_19,0.7,0.7522123893805309,0.5443037974683544,0.6428571428571429,0.6770833333333334
feature_2,0.77,0.6814159292035398,0.6582278481012658,0.75,0.7291666666666666
feature_20,0.66,0.672566371681416,0.7215189873417721,0.6875,0.6041666666666666
feature_21,0.72,0.672566371681416,0.7088607594936709,0.6696428571428571,0.75
feature_22,0.7,0.6371681415929203,0.7088607594936709,0.6428571428571429,0.6666666666666666
feature_23,0.7,0.6371681415929203,0.7215189873417721,0.6160714285714286,0.6354166666666666
feature_24,0.69,0.6548672566371682,0.7721518987341772,0.7410714285714286,0.6354166666666666
feature_25,0.67,0.6460176991150443,0.6962025316455697,0.7053571428571429,0.7083333333333334
feature_26,0.74,0.6814159292035398,0.6962025316455697,0.7142857142857143,0.6875
feature_27,0.67,0.6637168141592921,0.759493670886076,0.6428571428571429,0.6666666666666666
feature_28,0.63,0.6991150442477876,0.7341772151898734,0.75,0.65625
feature_29,0.63,0.672566371681416,0.7468354430379747,0.7142857142857143,0.625
feature_3,0.66,0.6283185840707964,0.7341772151898734,0.7053571428571429,0.6458333333333334
feature_30,0.69,0.6548672566371682,0.6962025316455697,0.7053571428571429,0.6666666666666666
feature_31,0.69,0.6814159292035398,0.6075949367088608,0.7232142857142857,0.6666666666666666
feature_32,0.72,0.6637168141592921,0.7468354430379747,0.6964285714285714,0.7291666666666666
feature_33,0.66,0.7522123893805309,0.6835443037974683,0.6339285714285714,0.6875
feature_34,0.67,0.7256637168141593,0.6455696202531646,0.7232142857142857,0.7291666666666666
feature_35,0.67,0.6637168141592921,0.6835443037974683,0.6517857142857143,0.71875
feature_36,0.73,0.7256637168141593,0.6329113924050633,0.6875,0.8020833333333334
feature_37,0.69,0.7433628318584071,0.6708860759493671,0.7142857142857143,0.6770833333333334
feature_38,0.69,0.6814159292035398,0.7341772151898734,0.7410714285714286,0.6875
feature_39,0.77,0.7433628318584071,0.6455696202531646,0.7142857142857143,0.6666666666666666
feature_4,0.68,0.7168141592920354,0.6962025316455697,0.6875,0.6770833333333334
feature_40,0.64,0.7168141592920354,0.6329113924050633,0.6875,0.6770833333333334
feature_5,0.75,0.6548672566371682,0.6708860759493671,0.6785714285714286,0.6458333333333334
feature_6,0.7,0.6106194690265486,0.7721518987341772,0.6785714285714286,0.6875
feature_7,0.74,0.7079646017699115,0.7215189873417721,0.6696428571428571,0.6770833333333334
feature_8,0.67,0.5575221238938053,0.6962025316455697,0.7767857142857143,0.6666666666666666
feature_9,0.67,0.6814159292035398,0.6582278481012658,0.6964285714285714,0.7604166666666666
