feature_name,adopting_accounts,usage_events,total_usage_count,total_errors,beta_event_share,adoption_rate,events_per_adopting_account,usage_count_per_adopting_account,avg_minutes_per_event,errors_per_100_uses,adoption_rank,adoption_quadrant
feature_12,374,659,6534,359,0.09863429438543247,0.748,1.7620320855614973,17.470588235294116,52.13659585230146,5.49433731251913,1,Broad but light
feature_17,366,651,6458,369,0.09216589861751152,0.732,1.778688524590164,17.6448087431694,49.94436763952893,5.7138432951378135,2,Broad but light
feature_2,360,642,6525,401,0.10747663551401869,0.72,1.7833333333333334,18.125,50.251661474558674,6.145593869731801,3,Broad but light
feature_36,359,648,6389,371,0.09722222222222222,0.718,1.8050139275766017,17.7966573816156,48.220987654320986,5.806855532947253,4,Broad but light
feature_39,356,631,6430,357,0.08874801901743265,0.712,1.7724719101123596,18.06179775280899,51.38042789223455,5.552099533437014,5,Broad but light
feature_32,354,659,6686,357,0.10166919575113809,0.708,1.8615819209039548,18.887005649717516,51.9048052604957,5.339515405324558,6,Core (broad & intensive)
feature_38,353,643,6478,356,0.11353032659409021,0.706,1.821529745042493,18.35127478753541,50.343623639191286,5.495523309663477,7,Core (broad & intensive)
feature_14,352,600,5880,307,0.10333333333333333,0.704,1.7045454545454546,16.704545454545453,49.8165,5.22108843537415,8,Broad but light
feature_26,352,649,6470,417,0.0970724191063174,0.704,1.84375,18.380681818181817,50.75441705187468,6.4451313755795985,8,Core (broad & intensive)
feature_7,351,619,6113,311,0.09531502423263329,0.702,1.7635327635327636,17.415954415954417,50.795476575121164,5.087518403402584,10,Broad but light
feature_34,351,650,6536,397,0.10307692307692308,0.702,1.8518518518518519,18.62108262108262,51.45438461538461,6.0740514075887395,10,Core (broad & intensive)
feature_21,351,591,5950,349,0.09983079526226735,0.702,1.6837606837606838,16.951566951566953,51.28759165256627,5.8655462184873945,10,Broad but light
feature_37,351,636,6380,306,0.10377358490566038,0.702,1.811965811965812,18.17663817663818,50.82955974842767,4.7962382445141065,10,Broad but light
feature_15,351,640,6621,349,0.115625,0.702,1.8233618233618234,18.863247863247864,51.22364583333333,5.271107083522127,10,Core (broad & intensive)
feature_13,350,612,6099,372,0.12091503267973856,0.7,1.7485714285714287,17.425714285714285,49.37350217864924,6.099360550909985,15,Broad but light
feature_24,348,643,6388,349,0.10730948678071539,0.696,1.8477011494252873,18.35632183908046,53.66122343182997,5.463368816530996,16,Core (broad & intensive)
feature_9,347,624,6207,404,0.11217948717948718,0.694,1.798270893371758,17.887608069164266,50.118883547008544,6.508780409215402,17,Broad but light
feature_28,347,623,6213,361,0.08667736757624397,0.694,1.7953890489913544,17.904899135446687,50.98065810593901,5.81039755351682,17,Broad but light
feature_11,347,643,6533,352,0.09331259720062209,0.694,1.8530259365994237,18.827089337175792,52.171565578019695,5.388030001530691,17,Core (broad & intensive)
feature_4,346,625,6374,418,0.1232,0.692,1.80635838150289,18.421965317919074,52.496586666666666,6.557891433950424,20,Core (broad & intensive)
feature_33,342,635,6274,336,0.09921259842519685,0.684,1.8567251461988303,18.34502923976608,51.529606299212595,5.35543512910424,21,Underutilized (narrow but intensive)
feature_6,342,655,6546,339,0.1083969465648855,0.684,1.9152046783625731,19.140350877192983,51.246106870229006,5.178735105407883,21,Underutilized (narrow but intensive)
feature_25,342,615,6091,344,0.08455284552845528,0.684,1.7982456140350878,17.809941520467838,50.027886178861785,5.647676900344771,21,Low traction
feature_30,341,629,6309,362,0.0985691573926868,0.682,1.844574780058651,18.501466275659823,50.171356650768416,5.73783483911872,24,Underutilized (narrow but intensive)
feature_1,340,629,6364,336,0.11287758346581876,0.68,1.85,18.71764705882353,48.67077371489136,5.279698302954117,25,Underutilized (narrow but intensive)
feature_5,340,577,5759,316,0.09185441941074524,0.68,1.6970588235294117,16.938235294117646,51.365222414789145,5.487063726341379,25,Low traction
feature_31,339,644,6425,335,0.09627329192546584,0.678,1.8997050147492625,18.952802359882007,47.47600931677019,5.214007782101167,27,Underutilized (narrow but intensive)
feature_35,338,587,5816,313,0.1141396933560477,0.676,1.7366863905325445,17.207100591715978,49.21618398637138,5.3817056396148555,28,Low traction
feature_27,338,611,6231,362,0.10147299509001637,0.676,1.8076923076923077,18.43491124260355,53.37883251500273,5.8096613705665225,28,Underutilized (narrow but intensive)
feature_29,338,640,6362,371,0.1,0.676,1.893491124260355,18.82248520710059,49.980703125,5.8314995284501725,28,Underutilized (narrow but intensive)
feature_16,337,622,6273,396,0.0707395498392283,0.674,1.8456973293768546,18.614243323442135,52.3180332261522,6.312769010043041,31,Underutilized (narrow but intensive)
feature_10,337,634,6384,348,0.08201892744479496,0.674,1.8813056379821957,18.94362017804154,49.24876445846477,5.451127819548872,31,Underutilized (narrow but intensive)
feature_40,337,621,6222,380,0.12721417069243157,0.674,1.8427299703264095,18.462908011869438,51.83048845947396,6.107360977177756,31,Underutilized (narrow but intensive)
feature_3,336,598,5917,345,0.11036789297658862,0.672,1.7797619047619047,17.610119047619047,49.785590858416946,5.830657427750549,34,Low traction
feature_8,336,596,6030,284,0.10570469798657718,0.672,1.7738095238095237,17.946428571428573,52.508389261744966,4.7097844112769485,34,Low traction
feature_19,335,589,5900,352,0.0967741935483871,0.67,1.7582089552238807,17.611940298507463,50.46378041878891,5.966101694915254,36,Low traction
