month,new_accounts,cumulative_accounts,new_subscriptions,new_subscription_mrr,active_subscriptions,paying_accounts,paid_seats,mrr,ended_subscriptions,ended_subscriptions_from_base,churned_mrr_from_base,start_of_month_subscriptions,start_of_month_mrr,churn_events,accounts_with_churn_event,usage_events,accounts_with_usage,support_tickets,arr,arpa,revenue_per_paid_seat,subscription_churn_rate,gross_mrr_churn_rate
2023-01-01,17,17,3,4684,3,2,46,4684,0,0,0,0,0,1,1,1069,440,83,56208,2342.0,101.82608695652173,,
2023-02-01,18,35,11,11079,14,9,217,15763,0,0,0,3,4684,0,0,970,412,59,189156,1751.4444444444443,72.6405529953917,0.0,0.0
2023-03-01,20,55,17,25885,31,19,542,41648,0,0,0,14,15763,5,5,1103,431,86,499776,2192.0,76.84132841328413,0.0,0.0
2023-04-01,15,70,31,41788,61,33,1159,83191,1,0,0,31,41648,3,3,1032,432,91,998292,2520.939393939394,71.77825711820535,0.0,0.0
2023-05-01,26,96,29,85919,90,46,2040,169110,0,0,0,61,83191,3,3,1077,438,78,2029320,3676.304347826087,82.8970588235294,0.0,0.0
2023-06-01,13,109,46,74987,135,64,3179,242921,1,1,1176,90,169110,5,5,1013,420,82,2915052,3795.640625,76.4142812205096,0.011111111111111112,0.006954053574596416
2023-07-01,14,123,59,120422,193,79,4645,363115,1,0,0,135,242921,6,6,1075,415,83,4357380,4596.392405063291,78.17330462863293,0.0,0.0
2023-08-01,16,139,82,165621,274,104,6260,528050,1,1,686,193,363115,7,6,1040,426,96,6336600,5077.403846153846,84.35303514376997,0.0051813471502590676,0.001889208652906104
2023-09-01,23,162,62,116222,336,119,7828,644272,0,0,0,274,528050,6,6,969,409,93,7731264,5414.050420168067,82.30352580480327,0.0,0.0
2023-10-01,20,182,84,182518,417,137,9812,821288,3,3,5502,336,644272,10,10,1095,426,75,9855456,5994.80291970803,83.70240521810028,0.008928571428571428,0.008539871358680805
2023-11-01,25,207,121,217219,530,159,12192,1014948,8,8,23559,417,821288,11,11,944,412,74,12179376,6383.320754716981,83.24704724409449,0.019184652278177457,0.02868543068935623
2023-12-01,20,227,121,267264,648,185,15157,1262113,3,3,20099,530,1014948,16,16,1043,431,91,15145356,6822.232432432433,83.26931450814806,0.005660377358490566,0.019802984980511317
2024-01-01,16,243,134,276933,771,206,18065,1522685,11,9,12638,648,1262113,20,18,1060,426,84,18272220,7391.674757281553,84.28923332410739,0.013888888888888888,0.010013366473524955
2024-02-01,13,256,152,365442,916,225,21692,1873778,7,7,14349,771,1522685,10,10,1016,422,75,22485336,8327.902222222223,86.38106214272543,0.009079118028534372,0.009423485487806079
2024-03-01,27,283,186,421916,1093,250,25684,2276266,9,9,19428,916,1873778,24,24,1069,430,92,27315192,9105.064,88.62583709702538,0.009825327510917031,0.010368357404132186
2024-04-01,22,305,193,445858,1274,274,30114,2707236,12,11,13173,1093,2276266,25,23,1020,428,81,32486832,9880.423357664233,89.89958158995816,0.010064043915827997,0.005787109239429838
2024-05-01,22,327,245,632549,1507,302,36271,3316249,12,12,23536,1274,2707236,27,25,1040,427,81,39794988,10980.956953642384,91.42976482589397,0.009419152276295133,0.008693737819680294
2024-06-01,21,348,248,537758,1742,333,42155,3833405,13,11,16796,1507,3316249,40,38,1013,416,78,46000860,11511.726726726727,90.9359506582849,0.0072992700729927005,0.005064758406259602
2024-07-01,26,374,330,707816,2055,360,50068,4513192,17,17,28029,1742,3833405,35,33,1068,431,70,54158304,12536.644444444444,90.14124790285211,0.00975889781859931,0.00731177634505094
2024-08-01,21,395,337,648426,2364,384,57649,5120881,28,23,34791,2055,4513192,42,40,1060,422,82,61450572,13335.627604166666,88.82861801592395,0.01119221411192214,0.007708734749153149
2024-09-01,25,420,440,992366,2769,414,67625,6035345,35,27,46152,2364,5120881,53,48,1020,415,96,72424140,14578.12801932367,89.24724584103512,0.011421319796954314,0.009012511714292912
2024-10-01,31,451,504,1173608,3215,437,78944,7098896,58,51,104092,2769,6035345,66,60,1137,435,88,85186752,16244.613272311213,89.92318605593839,0.018418201516793065,0.017247067069073932
2024-11-01,32,483,612,1549040,3754,474,92996,8460824,73,51,148386,3215,7098896,67,60,991,410,84,101529888,17849.83966244726,90.98051529098025,0.015863141524105753,0.02090268684031996
2024-12-01,17,500,953,2273427,4514,500,113412,10159608,193,90,281095,3754,8460824,117,96,1076,428,98,121915296,20319.216,89.58141995556026,0.02397442727757059,0.03322312342154854
