usage_month,usage_events,accounts_with_usage,features_used,beta_event_share,total_usage_count,total_errors,errors_per_100_uses,in_subscription_window_share
2023-01-01,1069,440,40,0.11693171188026193,10877,592,5.442677208789188,0.0
2023-02-01,970,412,40,0.0979381443298969,9492,602,6.342182890855457,0.004123711340206186
2023-03-01,1103,431,40,0.09338168631006347,11031,601,5.448282114042245,0.006346328195829556
2023-04-01,1032,432,40,0.11337209302325581,10369,580,5.5935962966534865,0.015503875968992248
2023-05-01,1077,438,40,0.10677808727948004,10757,663,6.1634284651854605,0.007428040854224698
2023-06-01,1013,420,40,0.1194471865745311,10002,626,6.25874825034993,0.017769002961500493
2023-07-01,1075,415,40,0.08465116279069768,11083,599,5.404673824776685,0.037209302325581395
2023-08-01,1040,426,40,0.1,10335,563,5.447508466376391,0.046153846153846156
2023-09-01,969,409,40,0.08875128998968008,9737,536,5.504775598233542,0.06501547987616099
2023-10-01,1095,426,40,0.10136986301369863,10968,601,5.479576951130562,0.07397260273972603
2023-11-01,944,412,40,0.1038135593220339,9475,478,5.044854881266491,0.11016949152542373
2023-12-01,1043,431,40,0.10546500479386385,10435,650,6.229036895064686,0.11984659635666348
2024-01-01,1060,426,40,0.10660377358490566,10621,614,5.780999905846907,0.12924528301886792
2024-02-01,1016,422,40,0.10728346456692914,10247,598,5.835854396408705,0.1643700787401575
2024-03-01,1069,430,40,0.09354536950420954,10725,590,5.501165501165501,0.2011225444340505
2024-04-01,1020,428,40,0.08823529411764706,10131,605,5.971769815418024,0.22745098039215686
2024-05-01,1040,427,40,0.10576923076923077,10552,613,5.809325246398787,0.28173076923076923
2024-06-01,1013,416,40,0.10365251727541955,10106,539,5.33346526815753,0.32576505429417574
2024-07-01,1068,431,40,0.11142322097378277,10601,656,6.188095462692199,0.37453183520599254
2024-08-01,1060,422,40,0.10660377358490566,10559,555,5.256179562458566,0.42924528301886794
2024-09-01,1020,415,40,0.09705882352941177,10195,564,5.532123589995096,0.515686274509804
2024-10-01,1137,435,40,0.09586631486367635,11450,570,4.978165938864628,0.6121372031662269
2024-11-01,991,410,40,0.1029263370332997,10039,537,5.349138360394462,0.7033299697275479
2024-12-01,1076,428,40,0.09200743494423792,10738,575,5.354814676848576,0.8420074349442379
