month,new_accounts,cumulative_accounts,new_subscriptions,new_subscription_mrr,active_subscriptions,paying_accounts,paid_seats,mrr,arr,arpa,revenue_per_paid_seat,mrr_change,mrr_growth_rate,start_of_month_subscriptions,ended_subscriptions_from_base,subscription_churn_rate,start_of_month_mrr,churned_mrr_from_base,gross_mrr_churn_rate,churn_events
2023-01-01,17,17,3,4684,3,2,46,4684,56208,2342.0000000000000000,101.8260869565217391,,,0,0,,0,0,,1
2023-02-01,18,35,11,11079,14,9,217,15763,189156,1751.4444444444444444,72.6405529953917051,11079.0,2.3652860802732707,3,0,0E-20,4684,0,0E-20,0
2023-03-01,20,55,17,25885,31,19,542,41648,499776,2192.0000000000000000,76.8413284132841328,25885.0,1.6421366491150162,14,0,0E-20,15763,0,0E-24,5
2023-04-01,15,70,31,41788,61,33,1159,83191,998292,2520.9393939393939394,71.7782571182053494,41543.0,0.9974788705339992,31,0,0E-20,41648,0,0E-24,3
2023-05-01,26,96,29,85919,90,46,2040,169110,2029320,3676.3043478260869565,82.8970588235294118,85919.0,1.0327920087509466,61,0,0E-20,83191,0,0E-24,3
2023-06-01,13,109,46,74987,135,64,3179,242921,2915052,3795.6406250000000000,76.4142812205095942,73811.0,0.4364673880905919,90,1,0.01111111111111111111,169110,1176,0.00695405357459641653,5
2023-07-01,14,123,59,120422,193,79,4645,363115,4357380,4596.3924050632911392,78.1733046286329386,120194.0,0.4947863708777751,135,0,0E-20,242921,0,0E-24,6
2023-08-01,16,139,82,165621,274,104,6260,528050,6336600,5077.4038461538461538,84.3530351437699681,164935.0,0.4542224914971841,193,1,0.00518134715025906736,363115,686,0.00188920865290610413,7
2023-09-01,23,162,62,116222,336,119,7828,644272,7731264,5414.0504201680672269,82.3035258048032703,116222.0,0.2200965817630906,274,0,0E-20,528050,0,0E-24,6
2023-10-01,20,182,84,182518,417,137,9812,821288,9855456,5994.8029197080291971,83.7024052181002854,177016.0,0.2747535202523158,336,3,0.00892857142857142857,644272,5502,0.00853987135868080562,10
2023-11-01,25,207,121,217219,530,159,12192,1014948,12179376,6383.3207547169811321,83.2470472440944882,193660.0,0.2358003526168652,417,8,0.01918465227817745803,821288,23559,0.02868543068935623070,11
2023-12-01,20,227,121,267264,648,185,15157,1262113,15145356,6822.2324324324324324,83.2693145081480504,247165.0,0.2435247914178854,530,3,0.00566037735849056604,1014948,20099,0.01980298498051131684,16
2024-01-01,16,243,134,276933,771,206,18065,1522685,18272220,7391.6747572815533981,84.2892333241073900,260572.0,0.2064569495758304,648,9,0.01388888888888888889,1262113,12638,0.01001336647352495379,20
2024-02-01,13,256,152,365442,916,225,21692,1873778,22485336,8327.9022222222222222,86.3810621427254287,351093.0,0.2305749383490348,771,7,0.00907911802853437095,1522685,14349,0.00942348548780607939,10
2024-03-01,27,283,186,421916,1093,250,25684,2276266,27315192,9105.0640000000000000,88.6258370970253855,402488.0,0.2148002591555670,916,9,0.00982532751091703057,1873778,19428,0.01036835740413218642,24
2024-04-01,22,305,193,445858,1274,274,30114,2707236,32486832,9880.4233576642335766,89.8995815899581590,430970.0,0.1893320024988292,1093,11,0.01006404391582799634,2276266,13173,0.00578710923942983816,25
2024-05-01,22,327,245,632549,1507,302,36271,3316249,39794988,10980.956953642384,91.4297648258939649,609013.0,0.2249574843124131,1274,12,0.00941915227629513344,2707236,23536,0.00869373781968029385,27
2024-06-01,21,348,248,537758,1742,333,42155,3833405,46000860,11511.726726726727,90.9359506582849010,517156.0,0.1559460703945934,1507,11,0.00729927007299270073,3316249,16796,0.00506475840625960234,40
2024-07-01,26,374,330,707816,2055,360,50068,4513192,54158304,12536.644444444444,90.1412479028521211,679787.0,0.1773324237851205,1742,17,0.00975889781859931114,3833405,28029,0.00731177634505094035,35
2024-08-01,21,395,337,648426,2364,384,57649,5120881,61450572,13335.627604166667,88.8286180159239536,607689.0,0.1346472740357601,2055,23,0.01119221411192214112,4513192,34791,0.00770873474915314926,42
2024-09-01,25,420,440,992366,2769,414,67625,6035345,72424140,14578.128019323671,89.2472458410351201,914464.0,0.1785755224540465,2364,27,0.01142131979695431472,5120881,46152,0.00901251171429291171,53
2024-10-01,31,451,504,1173608,3215,437,78944,7098896,85186752,16244.613272311213,89.9231860559383867,1063551.0,0.1762204149058587,2769,51,0.01841820151679306609,6035345,104092,0.01724706706907393032,66
2024-11-01,32,483,612,1549040,3754,474,92996,8460824,101529888,17849.839662447257,90.9805152909802572,1361928.0,0.1918506764995571,3215,51,0.01586314152410575428,7098896,148386,0.02090268684031995961,67
2024-12-01,17,500,953,2273427,4514,500,113412,10159608,121915296,20319.216000000000,89.5814199555602582,1698784.0,0.2007823351484442,3754,90,0.02397442727757059137,8460824,281095,0.03322312342154853948,117
