dimension,segment,funnel,stage_order,stage,accounts,conversion_from_signup,step_conversion,step_drop_off
industry,Cybersecurity,trial,1,1. Signed up,100,1.00000000000000000000,,
industry,Cybersecurity,trial,2,2. Started a trial,76,0.76000000000000000000,0.76000000000000000000,0.24000000000000000000
industry,Cybersecurity,trial,3,3. Converted to paid after trial,71,0.71000000000000000000,0.93421052631578947368,0.06578947368421052632
industry,Cybersecurity,trial,4,4. Retained (not churned),58,0.58000000000000000000,0.81690140845070422535,0.18309859154929577465
industry,DevTools,trial,1,1. Signed up,113,1.00000000000000000000,,
industry,DevTools,trial,2,2. Started a trial,95,0.84070796460176991150,0.84070796460176991150,0.15929203539823008850
industry,DevTools,trial,3,3. Converted to paid after trial,90,0.79646017699115044248,0.94736842105263157895,0.05263157894736842105
industry,DevTools,trial,4,4. Retained (not churned),61,0.53982300884955752212,0.67777777777777777778,0.32222222222222222222
industry,EdTech,trial,1,1. Signed up,79,1.00000000000000000000,,
industry,EdTech,trial,2,2. Started a trial,67,0.84810126582278481013,0.84810126582278481013,0.15189873417721518987
industry,EdTech,trial,3,3. Converted to paid after trial,63,0.79746835443037974684,0.94029850746268656716,0.05970149253731343284
industry,EdTech,trial,4,4. Retained (not churned),52,0.65822784810126582278,0.82539682539682539683,0.17460317460317460317
industry,FinTech,trial,1,1. Signed up,112,1.00000000000000000000,,
industry,FinTech,trial,2,2. Started a trial,88,0.78571428571428571429,0.78571428571428571429,0.21428571428571428571
industry,FinTech,trial,3,3. Converted to paid after trial,82,0.73214285714285714286,0.93181818181818181818,0.06818181818181818182
industry,FinTech,trial,4,4. Retained (not churned),64,0.57142857142857142857,0.78048780487804878049,0.21951219512195121951
industry,HealthTech,trial,1,1. Signed up,96,1.00000000000000000000,,
industry,HealthTech,trial,2,2. Started a trial,77,0.80208333333333333333,0.80208333333333333333,0.19791666666666666667
industry,HealthTech,trial,3,3. Converted to paid after trial,74,0.77083333333333333333,0.96103896103896103896,0.03896103896103896104
industry,HealthTech,trial,4,4. Retained (not churned),56,0.58333333333333333333,0.75675675675675675676,0.24324324324324324324
plan_tier,Basic,trial,1,1. Signed up,168,1.00000000000000000000,,
plan_tier,Basic,trial,2,2. Started a trial,140,0.83333333333333333333,0.83333333333333333333,0.16666666666666666667
plan_tier,Basic,trial,3,3. Converted to paid after trial,131,0.77976190476190476190,0.93571428571428571429,0.06428571428571428571
plan_tier,Basic,trial,4,4. Retained (not churned),96,0.57142857142857142857,0.73282442748091603053,0.26717557251908396947
plan_tier,Enterprise,trial,1,1. Signed up,154,1.00000000000000000000,,
plan_tier,Enterprise,trial,2,2. Started a trial,121,0.78571428571428571429,0.78571428571428571429,0.21428571428571428571
plan_tier,Enterprise,trial,3,3. Converted to paid after trial,117,0.75974025974025974026,0.96694214876033057851,0.03305785123966942149
plan_tier,Enterprise,trial,4,4. Retained (not churned),91,0.59090909090909090909,0.77777777777777777778,0.22222222222222222222
plan_tier,Pro,trial,1,1. Signed up,178,1.00000000000000000000,,
plan_tier,Pro,trial,2,2. Started a trial,142,0.79775280898876404494,0.79775280898876404494,0.20224719101123595506
plan_tier,Pro,trial,3,3. Converted to paid after trial,132,0.74157303370786516854,0.92957746478873239437,0.07042253521126760563
plan_tier,Pro,trial,4,4. Retained (not churned),104,0.58426966292134831461,0.78787878787878787879,0.21212121212121212121
referral_source,ads,trial,1,1. Signed up,98,1.00000000000000000000,,
referral_source,ads,trial,2,2. Started a trial,85,0.86734693877551020408,0.86734693877551020408,0.13265306122448979592
referral_source,ads,trial,3,3. Converted to paid after trial,81,0.82653061224489795918,0.95294117647058823529,0.04705882352941176471
referral_source,ads,trial,4,4. Retained (not churned),62,0.63265306122448979592,0.76543209876543209877,0.23456790123456790123
referral_source,event,trial,1,1. Signed up,96,1.00000000000000000000,,
referral_source,event,trial,2,2. Started a trial,76,0.79166666666666666667,0.79166666666666666667,0.20833333333333333333
referral_source,event,trial,3,3. Converted to paid after trial,70,0.72916666666666666667,0.92105263157894736842,0.07894736842105263158
referral_source,event,trial,4,4. Retained (not churned),44,0.45833333333333333333,0.62857142857142857143,0.37142857142857142857
referral_source,organic,trial,1,1. Signed up,114,1.00000000000000000000,,
referral_source,organic,trial,2,2. Started a trial,83,0.72807017543859649123,0.72807017543859649123,0.27192982456140350877
referral_source,organic,trial,3,3. Converted to paid after trial,80,0.70175438596491228070,0.96385542168674698795,0.03614457831325301205
referral_source,organic,trial,4,4. Retained (not churned),67,0.58771929824561403509,0.83750000000000000000,0.16250000000000000000
referral_source,other,trial,1,1. Signed up,103,1.00000000000000000000,,
referral_source,other,trial,2,2. Started a trial,85,0.82524271844660194175,0.82524271844660194175,0.17475728155339805825
referral_source,other,trial,3,3. Converted to paid after trial,81,0.78640776699029126214,0.95294117647058823529,0.04705882352941176471
referral_source,other,trial,4,4. Retained (not churned),61,0.59223300970873786408,0.75308641975308641975,0.24691358024691358025
referral_source,partner,trial,1,1. Signed up,89,1.00000000000000000000,,
referral_source,partner,trial,2,2. Started a trial,74,0.83146067415730337079,0.83146067415730337079,0.16853932584269662921
referral_source,partner,trial,3,3. Converted to paid after trial,68,0.76404494382022471910,0.91891891891891891892,0.08108108108108108108
referral_source,partner,trial,4,4. Retained (not churned),57,0.64044943820224719101,0.83823529411764705882,0.16176470588235294118
signup_quarter,2023Q1,trial,1,1. Signed up,55,1.00000000000000000000,,
signup_quarter,2023Q1,trial,2,2. Started a trial,42,0.76363636363636363636,0.76363636363636363636,0.23636363636363636364
signup_quarter,2023Q1,trial,3,3. Converted to paid after trial,41,0.74545454545454545455,0.97619047619047619048,0.02380952380952380952
signup_quarter,2023Q1,trial,4,4. Retained (not churned),26,0.47272727272727272727,0.63414634146341463415,0.36585365853658536585
signup_quarter,2023Q2,trial,1,1. Signed up,54,1.00000000000000000000,,
signup_quarter,2023Q2,trial,2,2. Started a trial,46,0.85185185185185185185,0.85185185185185185185,0.14814814814814814815
signup_quarter,2023Q2,trial,3,3. Converted to paid after trial,43,0.79629629629629629630,0.93478260869565217391,0.06521739130434782609
signup_quarter,2023Q2,trial,4,4. Retained (not churned),34,0.62962962962962962963,0.79069767441860465116,0.20930232558139534884
signup_quarter,2023Q3,trial,1,1. Signed up,53,1.00000000000000000000,,
signup_quarter,2023Q3,trial,2,2. Started a trial,43,0.81132075471698113208,0.81132075471698113208,0.18867924528301886792
signup_quarter,2023Q3,trial,3,3. Converted to paid after trial,41,0.77358490566037735849,0.95348837209302325581,0.04651162790697674419
signup_quarter,2023Q3,trial,4,4. Retained (not churned),34,0.64150943396226415094,0.82926829268292682927,0.17073170731707317073
signup_quarter,2023Q4,trial,1,1. Signed up,65,1.00000000000000000000,,
signup_quarter,2023Q4,trial,2,2. Started a trial,53,0.81538461538461538462,0.81538461538461538462,0.18461538461538461538
signup_quarter,2023Q4,trial,3,3. Converted to paid after trial,48,0.73846153846153846154,0.90566037735849056604,0.09433962264150943396
