dimension,segment,trial_accounts,converted_accounts,trial_to_paid_rate,gap_vs_dimension_rate,rank_in_dimension
industry,HealthTech,77,74,0.96103896103896103896,0.01811092133672778834,1
industry,DevTools,95,90,0.94736842105263157895,0.00444038135039832833,2
industry,EdTech,67,63,0.94029850746268656716,-0.00262953223954668346,3
industry,Cybersecurity,76,71,0.93421052631578947368,-0.00871751338644377694,4
industry,FinTech,88,82,0.93181818181818181818,-0.01110985788405143244,5
plan_tier,Enterprise,121,117,0.96694214876033057851,0.02401410905809732789,1
plan_tier,Basic,140,131,0.93571428571428571429,-0.00721375398794753633,2
plan_tier,Pro,142,132,0.92957746478873239437,-0.01335057491350085625,3
referral_source,organic,83,80,0.96385542168674698795,0.02092738198451373733,1
referral_source,ads,85,81,0.95294117647058823529,0.01001313676835498467,2
referral_source,other,85,81,0.95294117647058823529,0.01001313676835498467,2
referral_source,event,76,70,0.92105263157894736842,-0.02187540812328588220,4
referral_source,partner,74,68,0.91891891891891891892,-0.02400912078331433170,5
signup_quarter,2024Q3,56,55,0.98214285714285714286,0.03921481744062389224,1
signup_quarter,2023Q1,42,41,0.97619047619047619048,0.03326243648824293986,2
signup_quarter,2023Q3,43,41,0.95348837209302325581,0.01056033239079000519,3
signup_quarter,2024Q1,52,49,0.94230769230769230769,-0.00062034739454094293,4
signup_quarter,2024Q2,51,48,0.94117647058823529412,-0.00175156911399795650,5
signup_quarter,2023Q2,46,43,0.93478260869565217391,-0.00814543100658107671,6
signup_quarter,2024Q4,60,55,0.91666666666666666667,-0.02626137303556658395,7
signup_quarter,2023Q4,53,48,0.90566037735849056604,-0.03726766234374268458,8
