quarter,feature_name,usage_events,accounts,share_of_quarter_events,qoq_event_change,rank_in_quarter
2023-01-01,feature_17,98,87,0.03119032463399108848,,1
2023-01-01,feature_12,92,86,0.02928071292170591980,,2
2023-01-01,feature_10,90,83,0.02864417568427753024,,3
2023-01-01,feature_35,88,80,0.02800763844684914067,,4
2023-01-01,feature_26,85,83,0.02705283259070655633,,5
2023-01-01,feature_29,85,79,0.02705283259070655633,,5
2023-01-01,feature_9,84,77,0.02673456397199236155,,7
2023-01-01,feature_8,83,80,0.02641629535327816677,,8
2023-01-01,feature_18,83,77,0.02641629535327816677,,8
2023-01-01,feature_22,83,76,0.02641629535327816677,,8
2023-01-01,feature_13,82,77,0.02609802673456397199,,11
2023-01-01,feature_37,82,75,0.02609802673456397199,,11
2023-01-01,feature_28,81,76,0.02577975811584977721,,13
2023-01-01,feature_34,81,73,0.02577975811584977721,,13
2023-01-01,feature_24,80,72,0.02546148949713558243,,15
2023-01-01,feature_19,80,76,0.02546148949713558243,,15
2023-01-01,feature_16,80,73,0.02546148949713558243,,15
2023-01-01,feature_4,80,75,0.02546148949713558243,,15
2023-01-01,feature_1,79,72,0.02514322087842138765,,19
2023-01-01,feature_21,79,70,0.02514322087842138765,,19
2023-01-01,feature_23,79,73,0.02514322087842138765,,19
2023-01-01,feature_32,79,71,0.02514322087842138765,,19
2023-01-01,feature_40,78,72,0.02482495225970719287,,23
2023-01-01,feature_30,78,69,0.02482495225970719287,,23
2023-01-01,feature_15,78,72,0.02482495225970719287,,23
2023-01-01,feature_14,78,75,0.02482495225970719287,,23
2023-01-01,feature_31,76,69,0.02418841502227880331,,27
2023-01-01,feature_36,76,70,0.02418841502227880331,,27
2023-01-01,feature_38,76,67,0.02418841502227880331,,27
2023-01-01,feature_6,75,69,0.02387014640356460853,,30
2023-01-01,feature_7,75,72,0.02387014640356460853,,30
2023-01-01,feature_33,74,71,0.02355187778485041375,,32
2023-01-01,feature_20,74,67,0.02355187778485041375,,32
2023-01-01,feature_25,71,67,0.02259707192870782941,,34
2023-01-01,feature_27,70,63,0.02227880330999363463,,35
2023-01-01,feature_3,68,64,0.02164226607256524507,,36
2023-01-01,feature_2,67,62,0.02132399745385105029,,37
2023-01-01,feature_11,67,63,0.02132399745385105029,,37
2023-01-01,feature_39,66,61,0.02100572883513685551,,39
2023-01-01,feature_5,62,58,0.01973265436028007638,,40
2023-04-01,feature_11,96,88,0.03074951953875720692,29.0,1
2023-04-01,feature_9,91,83,0.02914798206278026906,7.0,2
2023-04-01,feature_36,91,88,0.02914798206278026906,15.0,2
2023-04-01,feature_30,89,78,0.02850736707238949391,11.0,4
2023-04-01,feature_15,86,78,0.02754644458680333120,8.0,5
2023-04-01,feature_20,85,77,0.02722613709160794363,11.0,6
2023-04-01,feature_34,84,77,0.02690582959641255605,3.0,7
2023-04-01,feature_25,84,79,0.02690582959641255605,13.0,7
2023-04-01,feature_6,84,72,0.02690582959641255605,9.0,7
2023-04-01,feature_27,82,75,0.02626521460602178091,12.0,10
2023-04-01,feature_8,82,73,0.02626521460602178091,-1.0,10
2023-04-01,feature_17,81,74,0.02594490711082639334,-17.0,12
2023-04-01,feature_13,81,76,0.02594490711082639334,-1.0,12
2023-04-01,feature_10,81,69,0.02594490711082639334,-9.0,12
2023-04-01,feature_22,81,77,0.02594490711082639334,-2.0,12
2023-04-01,feature_31,80,74,0.02562459961563100577,4.0,16
2023-04-01,feature_1,80,75,0.02562459961563100577,1.0,16
2023-04-01,feature_26,80,72,0.02562459961563100577,-5.0,16
2023-04-01,feature_40,79,72,0.02530429212043561819,1.0,19
2023-04-01,feature_28,79,75,0.02530429212043561819,-2.0,19
2023-04-01,feature_7,78,76,0.02498398462524023062,3.0,21
2023-04-01,feature_24,78,74,0.02498398462524023062,-2.0,21
2023-04-01,feature_16,78,72,0.02498398462524023062,-2.0,21
2023-04-01,feature_4,77,71,0.02466367713004484305,-3.0,24
2023-04-01,feature_2,77,73,0.02466367713004484305,10.0,24
2023-04-01,feature_38,75,72,0.02402306213965406791,-1.0,26
2023-04-01,feature_29,75,67,0.02402306213965406791,-10.0,26
2023-04-01,feature_32,74,68,0.02370275464445868033,-5.0,28
2023-04-01,feature_3,73,68,0.02338244714926329276,5.0,29
2023-04-01,feature_12,73,69,0.02338244714926329276,-19.0,29
2023-04-01,feature_33,72,63,0.02306213965406790519,-2.0,31
2023-04-01,feature_5,72,67,0.02306213965406790519,10.0,31
2023-04-01,feature_19,72,66,0.02306213965406790519,-8.0,31
