dimension,segment,window_days,eligible,retained,retention_rate
breadth_quartile,Q1 (lowest),30,101,83,0.82178217821782178218
breadth_quartile,Q1 (lowest),60,92,67,0.72826086956521739130
breadth_quartile,Q1 (lowest),90,81,57,0.70370370370370370370
breadth_quartile,Q1 (lowest),180,67,33,0.49253731343283582090
breadth_quartile,Q1 (lowest),365,41,18,0.43902439024390243902
breadth_quartile,Q2,30,101,83,0.82178217821782178218
breadth_quartile,Q2,60,94,73,0.77659574468085106383
breadth_quartile,Q2,90,90,63,0.70000000000000000000
breadth_quartile,Q2,180,74,42,0.56756756756756756757
breadth_quartile,Q2,365,50,17,0.34000000000000000000
breadth_quartile,Q3,30,145,126,0.86896551724137931034
breadth_quartile,Q3,60,138,103,0.74637681159420289855
breadth_quartile,Q3,90,130,87,0.66923076923076923077
breadth_quartile,Q3,180,111,67,0.60360360360360360360
breadth_quartile,Q3,365,74,35,0.47297297297297297297
breadth_quartile,Q4 (highest),30,136,112,0.82352941176470588235
breadth_quartile,Q4 (highest),60,128,94,0.73437500000000000000
breadth_quartile,Q4 (highest),90,121,82,0.67768595041322314050
breadth_quartile,Q4 (highest),180,99,55,0.55555555555555555556
breadth_quartile,Q4 (highest),365,63,25,0.39682539682539682540
engagement_segment,Casual Accounts,30,122,93,0.76229508196721311475
engagement_segment,Casual Accounts,60,113,79,0.69911504424778761062
engagement_segment,Casual Accounts,90,106,69,0.65094339622641509434
engagement_segment,Casual Accounts,180,92,50,0.54347826086956521739
engagement_segment,Casual Accounts,365,59,22,0.37288135593220338983
engagement_segment,Engaged Accounts,30,148,135,0.91216216216216216216
engagement_segment,Engaged Accounts,60,141,110,0.78014184397163120567
engagement_segment,Engaged Accounts,90,133,92,0.69172932330827067669
engagement_segment,Engaged Accounts,180,113,72,0.63716814159292035398
engagement_segment,Engaged Accounts,365,79,39,0.49367088607594936709
engagement_segment,Low-Engagement Accounts,30,117,98,0.83760683760683760684
engagement_segment,Low-Engagement Accounts,60,108,82,0.75925925925925925926
engagement_segment,Low-Engagement Accounts,90,97,69,0.71134020618556701031
engagement_segment,Low-Engagement Accounts,180,76,39,0.51315789473684210526
engagement_segment,Low-Engagement Accounts,365,49,20,0.40816326530612244898
engagement_segment,Power Accounts,30,96,78,0.81250000000000000000
engagement_segment,Power Accounts,60,90,66,0.73333333333333333333
engagement_segment,Power Accounts,90,86,59,0.68604651162790697674
engagement_segment,Power Accounts,180,70,36,0.51428571428571428571
engagement_segment,Power Accounts,365,41,14,0.34146341463414634146
overall,All,30,483,404,0.83643892339544513458
overall,All,60,452,337,0.74557522123893805310
overall,All,90,422,289,0.68483412322274881517
overall,All,180,351,197,0.56125356125356125356
overall,All,365,228,95,0.41666666666666666667
plan_tier,Basic,30,161,137,0.85093167701863354037
plan_tier,Basic,60,147,112,0.76190476190476190476
plan_tier,Basic,90,136,95,0.69852941176470588235
plan_tier,Basic,180,110,62,0.56363636363636363636
plan_tier,Basic,365,68,29,0.42647058823529411765
plan_tier,Enterprise,30,149,125,0.83892617449664429530
plan_tier,Enterprise,60,140,107,0.76428571428571428571
plan_tier,Enterprise,90,133,91,0.68421052631578947368
plan_tier,Enterprise,180,110,63,0.57272727272727272727
plan_tier,Enterprise,365,75,31,0.41333333333333333333
plan_tier,Pro,30,173,142,0.82080924855491329480
