cohort,cohort_size,months_since_start,retention_rate
2023-01-01,3,0,1.00000000000000000000
2023-01-01,3,1,1.00000000000000000000
2023-01-01,3,2,1.00000000000000000000
2023-01-01,3,3,1.00000000000000000000
2023-01-01,3,4,1.00000000000000000000
2023-01-01,3,5,1.00000000000000000000
2023-01-01,3,6,1.00000000000000000000
2023-01-01,3,7,1.00000000000000000000
2023-01-01,3,8,1.00000000000000000000
2023-01-01,3,9,1.00000000000000000000
2023-01-01,3,10,1.00000000000000000000
2023-01-01,3,11,1.00000000000000000000
2023-01-01,3,12,1.00000000000000000000
2023-02-01,11,0,1.00000000000000000000
2023-02-01,11,1,1.00000000000000000000
2023-02-01,11,2,1.00000000000000000000
2023-02-01,11,3,1.00000000000000000000
2023-02-01,11,4,0.90909090909090909091
2023-02-01,11,5,0.90909090909090909091
2023-02-01,11,6,0.90909090909090909091
2023-02-01,11,7,0.81818181818181818182
2023-02-01,11,8,0.81818181818181818182
2023-02-01,11,9,0.81818181818181818182
2023-02-01,11,10,0.72727272727272727273
2023-02-01,11,11,0.72727272727272727273
2023-02-01,11,12,0.72727272727272727273
2023-03-01,17,0,1.00000000000000000000
2023-03-01,17,1,1.00000000000000000000
2023-03-01,17,2,1.00000000000000000000
2023-03-01,17,3,1.00000000000000000000
2023-03-01,17,4,1.00000000000000000000
2023-03-01,17,5,1.00000000000000000000
2023-03-01,17,6,1.00000000000000000000
2023-03-01,17,7,1.00000000000000000000
2023-03-01,17,8,1.00000000000000000000
2023-03-01,17,9,1.00000000000000000000
2023-03-01,17,10,1.00000000000000000000
2023-03-01,17,11,1.00000000000000000000
2023-03-01,17,12,1.00000000000000000000
2023-04-01,31,0,1.00000000000000000000
2023-04-01,31,1,0.96774193548387096774
2023-04-01,31,2,0.96774193548387096774
2023-04-01,31,3,0.96774193548387096774
2023-04-01,31,4,0.96774193548387096774
2023-04-01,31,5,0.96774193548387096774
2023-04-01,31,6,0.96774193548387096774
2023-04-01,31,7,0.96774193548387096774
2023-04-01,31,8,0.96774193548387096774
2023-04-01,31,9,0.93548387096774193548
2023-04-01,31,10,0.93548387096774193548
2023-04-01,31,11,0.93548387096774193548
2023-04-01,31,12,0.93548387096774193548
2023-05-01,29,0,1.00000000000000000000
2023-05-01,29,1,1.00000000000000000000
2023-05-01,29,2,1.00000000000000000000
2023-05-01,29,3,1.00000000000000000000
2023-05-01,29,4,1.00000000000000000000
2023-05-01,29,5,1.00000000000000000000
2023-05-01,29,6,1.00000000000000000000
2023-05-01,29,7,0.96551724137931034483
2023-05-01,29,8,0.96551724137931034483
2023-05-01,29,9,0.93103448275862068966
2023-05-01,29,10,0.93103448275862068966
2023-05-01,29,11,0.93103448275862068966
2023-05-01,29,12,0.93103448275862068966
2023-06-01,46,0,1.00000000000000000000
2023-06-01,46,1,1.00000000000000000000
2023-06-01,46,2,1.00000000000000000000
2023-06-01,46,3,1.00000000000000000000
2023-06-01,46,4,1.00000000000000000000
2023-06-01,46,5,0.97826086956521739130
2023-06-01,46,6,0.97826086956521739130
2023-06-01,46,7,0.97826086956521739130
2023-06-01,46,8,0.97826086956521739130
2023-06-01,46,9,0.97826086956521739130
2023-06-01,46,10,0.97826086956521739130
2023-06-01,46,11,0.95652173913043478261
2023-06-01,46,12,0.95652173913043478261
2023-07-01,59,0,1.00000000000000000000
2023-07-01,59,1,0.98305084745762711864
2023-07-01,59,2,0.98305084745762711864
2023-07-01,59,3,0.96610169491525423729
2023-07-01,59,4,0.96610169491525423729
2023-07-01,59,5,0.93220338983050847458
2023-07-01,59,6,0.93220338983050847458
2023-07-01,59,7,0.91525423728813559322
2023-07-01,59,8,0.91525423728813559322
2023-07-01,59,9,0.91525423728813559322
2023-07-01,59,10,0.89830508474576271186
2023-07-01,59,11,0.89830508474576271186
2023-07-01,59,12,0.89830508474576271186
2023-08-01,82,0,1.00000000000000000000
2023-08-01,82,1,1.00000000000000000000
2023-08-01,82,2,1.00000000000000000000
2023-08-01,82,3,0.97560975609756097561
2023-08-01,82,4,0.96341463414634146341
2023-08-01,82,5,0.96341463414634146341
2023-08-01,82,6,0.95121951219512195122
2023-08-01,82,7,0.95121951219512195122
2023-08-01,82,8,0.95121951219512195122
2023-08-01,82,9,0.95121951219512195122
2023-08-01,82,10,0.93902439024390243902
2023-08-01,82,11,0.92682926829268292683
2023-08-01,82,12,0.92682926829268292683
2023-09-01,62,0,1.00000000000000000000
2023-09-01,62,1,0.98387096774193548387
2023-09-01,62,2,0.95161290322580645161
2023-09-01,62,3,0.95161290322580645161
2023-09-01,62,4,0.91935483870967741935
2023-09-01,62,5,0.91935483870967741935
2023-09-01,62,6,0.88709677419354838710
2023-09-01,62,7,0.85483870967741935484
2023-09-01,62,8,0.85483870967741935484
2023-09-01,62,9,0.83870967741935483871
2023-09-01,62,10,0.82258064516129032258
2023-09-01,62,11,0.82258064516129032258
2023-09-01,62,12,0.82258064516129032258
2023-10-01,84,0,1.00000000000000000000
2023-10-01,84,1,1.00000000000000000000
2023-10-01,84,2,0.98809523809523809524
2023-10-01,84,3,0.97619047619047619048
2023-10-01,84,4,0.95238095238095238095
2023-10-01,84,5,0.94047619047619047619
2023-10-01,84,6,0.94047619047619047619
2023-10-01,84,7,0.94047619047619047619
2023-10-01,84,8,0.92857142857142857143
2023-10-01,84,9,0.91666666666666666667
2023-10-01,84,10,0.90476190476190476190
2023-10-01,84,11,0.90476190476190476190
2023-10-01,84,12,0.90476190476190476190
2023-11-01,121,0,1.00000000000000000000
2023-11-01,121,1,0.99173553719008264463
2023-11-01,121,2,0.98347107438016528926
2023-11-01,121,3,0.97520661157024793388
2023-11-01,121,4,0.96694214876033057851
2023-11-01,121,5,0.96694214876033057851
