dimension,segment,eligible,d90_retention,gap_vs_dimension_mean
billing_frequency,annual,1438,0.95618915159944367177,-0.00211650599447341478
billing_frequency,monthly,1516,0.96042216358839050132,0.00211650599447341477
is_trial,true,468,0.95299145299145299145,-0.00319051646485274804
is_trial,false,2486,0.95937248592115848753,0.00319051646485274804
plan_tier,Pro,984,0.95630081300813008130,-0.00204886725226389222
plan_tier,Basic,965,0.95854922279792746114,0.00019954253753348762
plan_tier,Enterprise,1005,0.96019900497512437811,0.00184932471473040459
referral_source,other,593,0.95446880269814502530,-0.00400703492924301056
referral_source,ads,662,0.95468277945619335347,-0.00379305817119468239
referral_source,event,523,0.95793499043977055449,-0.00054084718761748137
referral_source,organic,627,0.96172248803827751196,0.00324665041088947610
referral_source,partner,549,0.96357012750455373406,0.00509428987716569820
