dimension,segment,window_days,eligible,retained,retention_rate
billing_frequency,annual,1,2434,2428,0.99753492193919474117
billing_frequency,annual,7,2331,2299,0.98627198627198627199
billing_frequency,annual,14,2227,2176,0.97709923664122137405
billing_frequency,annual,30,1998,1944,0.97297297297297297297
billing_frequency,annual,60,1686,1628,0.96559905100830367734
billing_frequency,annual,90,1438,1375,0.95618915159944367177
billing_frequency,monthly,1,2521,2519,0.99920666402221340738
billing_frequency,monthly,7,2420,2398,0.99090909090909090909
billing_frequency,monthly,14,2296,2262,0.98519163763066202091
billing_frequency,monthly,30,2068,2018,0.97582205029013539652
billing_frequency,monthly,60,1764,1706,0.96712018140589569161
billing_frequency,monthly,90,1516,1456,0.96042216358839050132
is_trial,false,1,4184,4176,0.99808795411089866157
is_trial,false,7,4010,3961,0.98778054862842892768
is_trial,false,14,3809,3735,0.98057232869519558939
is_trial,false,30,3428,3338,0.97374562427071178530
is_trial,false,60,2900,2806,0.96758620689655172414
is_trial,false,90,2486,2385,0.95937248592115848753
is_trial,true,1,771,771,1.00000000000000000000
is_trial,true,7,741,736,0.99325236167341430499
is_trial,true,14,714,703,0.98459383753501400560
is_trial,true,30,638,624,0.97805642633228840125
is_trial,true,60,550,528,0.96000000000000000000
is_trial,true,90,468,446,0.95299145299145299145
overall,All,1,4955,4947,0.99838546922300706357
overall,All,7,4751,4697,0.98863397179541149232
overall,All,14,4523,4438,0.98120716338713243423
overall,All,30,4066,3962,0.97442203639940973930
overall,All,60,3450,3334,0.96637681159420289855
overall,All,90,2954,2831,0.95836154366960054164
plan_tier,Basic,1,1588,1586,0.99874055415617128463
plan_tier,Basic,7,1516,1503,0.99142480211081794195
plan_tier,Basic,14,1451,1424,0.98139214334941419711
plan_tier,Basic,30,1326,1292,0.97435897435897435897
plan_tier,Basic,60,1124,1087,0.96708185053380782918
plan_tier,Basic,90,965,925,0.95854922279792746114
plan_tier,Enterprise,1,1707,1705,0.99882835383714118336
plan_tier,Enterprise,7,1644,1624,0.98783454987834549878
plan_tier,Enterprise,14,1573,1546,0.98283534647171010807
plan_tier,Enterprise,30,1406,1373,0.97652916073968705548
plan_tier,Enterprise,60,1190,1156,0.97142857142857142857
plan_tier,Enterprise,90,1005,965,0.96019900497512437811
plan_tier,Pro,1,1660,1656,0.99759036144578313253
plan_tier,Pro,7,1591,1570,0.98680075424261470773
plan_tier,Pro,14,1499,1468,0.97931954636424282855
plan_tier,Pro,30,1334,1297,0.97226386806596701649
plan_tier,Pro,60,1136,1091,0.96038732394366197183
plan_tier,Pro,90,984,941,0.95630081300813008130
referral_source,ads,1,996,993,0.99698795180722891566
referral_source,ads,7,968,955,0.98657024793388429752
referral_source,ads,14,931,910,0.97744360902255639098
referral_source,ads,30,840,819,0.97500000000000000000
referral_source,ads,60,750,721,0.96133333333333333333
referral_source,ads,90,662,632,0.95468277945619335347
referral_source,event,1,911,910,0.99890230515916575192
referral_source,event,7,884,876,0.99095022624434389140
referral_source,event,14,842,830,0.98574821852731591449
referral_source,event,30,756,738,0.97619047619047619048
referral_source,event,60,620,599,0.96612903225806451613
referral_source,event,90,523,501,0.95793499043977055449
referral_source,organic,1,1156,1155,0.99913494809688581315
referral_source,organic,7,1086,1070,0.98526703499079189687
referral_source,organic,14,1015,994,0.97931034482758620690
referral_source,organic,30,907,879,0.96912899669239250276
referral_source,organic,60,746,723,0.96916890080428954424
referral_source,organic,90,627,603,0.96172248803827751196
referral_source,other,1,1019,1018,0.99901864573110893032
referral_source,other,7,969,960,0.99071207430340557276
referral_source,other,14,930,911,0.97956989247311827957
referral_source,other,30,829,810,0.97708082026537997587
