dimension,segment,accounts,churned,churn_rate,lift_vs_overall
any_downgrade,false,323,73,0.22600619195046439628,1.02730087250211089218
any_downgrade,true,177,37,0.20903954802259887006,0.95017976373908577300
any_escalation,true,91,23,0.25274725274725274725,1.14885114885114885114
any_escalation,false,409,87,0.21271393643031784841,0.96688152922871749277
any_upgrade,false,193,46,0.23834196891191709845,1.08337258596325953841
any_upgrade,true,307,64,0.20846905537459283388,0.94758661533905833582
breadth_quartile,Q3,149,39,0.26174496644295302013,1.18974984746796827332
breadth_quartile,Q2,107,24,0.22429906542056074766,1.01954120645709430755
breadth_quartile,Q4 (highest),139,31,0.22302158273381294964,1.01373446697187704382
breadth_quartile,Q1 (lowest),105,16,0.15238095238095238095,0.69264069264069264068
country,DE,25,8,0.32000000000000000000,1.45454545454545454545
country,US,291,68,0.23367697594501718213,1.06216807247735082786
country,FR,22,5,0.22727272727272727273,1.03305785123966942150
country,IN,49,10,0.20408163265306122449,0.92764378478664192950
country,UK,58,11,0.18965517241379310345,0.86206896551724137932
country,CA,23,4,0.17391304347826086957,0.79051383399209486168
country,AU,32,4,0.12500000000000000000,0.56818181818181818182
engagement_segment,Engaged Accounts,153,42,0.27450980392156862745,1.24777183600713012477
engagement_segment,Power Accounts,97,21,0.21649484536082474227,0.98406747891283973759
engagement_segment,Casual Accounts,127,26,0.20472440944881889764,0.93056549749463135291
engagement_segment,Low-Engagement Accounts,123,21,0.17073170731707317073,0.77605321507760532150
has_trial_subscription,true,403,93,0.23076923076923076923,1.04895104895104895105
has_trial_subscription,false,97,17,0.17525773195876288660,0.79662605435801312091
high_friction,false,313,75,0.23961661341853035144,1.08916642462968341564
high_friction,true,187,35,0.18716577540106951872,0.85075352455031599418
highest_plan_tier,Enterprise,479,108,0.22546972860125260960,1.02486240273296640727
highest_plan_tier,Pro,21,2,0.09523809523809523810,0.43290043290043290045
industry,DevTools,113,35,0.30973451327433628319,1.40788415124698310541
industry,FinTech,112,25,0.22321428571428571429,1.01461038961038961041
industry,HealthTech,96,21,0.21875000000000000000,0.99431818181818181818
industry,EdTech,79,13,0.16455696202531645570,0.74798619102416570773
industry,Cybersecurity,100,16,0.16000000000000000000,0.72727272727272727273
is_trial,true,97,25,0.25773195876288659794,1.17150890346766635427
is_trial,false,403,85,0.21091811414392059553,0.95871870065418452514
plan_tier,Enterprise,154,34,0.22077922077922077922,1.00354191263282172373
plan_tier,Basic,168,37,0.22023809523809523810,1.00108225108225108227
plan_tier,Pro,178,39,0.21910112359550561798,0.99591419816138917264
referral_source,event,96,29,0.30208333333333333333,1.37310606060606060605
referral_source,other,103,25,0.24271844660194174757,1.10326566637246248895
referral_source,ads,98,23,0.23469387755102040816,1.06679035250463821891
referral_source,organic,114,20,0.17543859649122807018,0.79744816586921850082
referral_source,partner,89,13,0.14606741573033707865,0.66394279877425944841
signup_quarter,2023Q1,55,16,0.29090909090909090909,1.32231404958677685950
signup_quarter,2023Q4,65,18,0.27692307692307692308,1.25874125874125874127
signup_quarter,2023Q2,54,13,0.24074074074074074074,1.09427609427609427609
signup_quarter,2024Q2,65,15,0.23076923076923076923,1.04895104895104895105
signup_quarter,2023Q3,53,11,0.20754716981132075472,0.94339622641509433964
signup_quarter,2024Q1,56,11,0.19642857142857142857,0.89285714285714285714
signup_quarter,2024Q3,72,14,0.19444444444444444444,0.88383838383838383836
signup_quarter,2024Q4,80,12,0.15000000000000000000,0.68181818181818181818
tenure_bucket,18-24 months,113,30,0.26548672566371681416,1.20675784392598551891
tenure_bucket,12-18 months,114,28,0.24561403508771929825,1.11642743221690590114
tenure_bucket,6-12 months,123,27,0.21951219512195121951,0.99778270509977827050
tenure_bucket,0-6 months,150,25,0.16666666666666666667,0.75757575757575757577
ticket_bucket,7+,51,14,0.27450980392156862745,1.24777183600713012477
ticket_bucket,1-2,104,26,0.25000000000000000000,1.13636363636363636364
ticket_bucket,0,8,2,0.25000000000000000000,1.13636363636363636364
ticket_bucket,3-4,195,44,0.22564102564102564103,1.02564102564102564105
ticket_bucket,5-6,142,24,0.16901408450704225352,0.76824583866837387964
usage_quartile,Q3,125,36,0.28800000000000000000,1.30909090909090909091
usage_quartile,Q4 (highest),125,27,0.21600000000000000000,0.98181818181818181818
usage_quartile,Q2,127,26,0.20472440944881889764,0.93056549749463135291
usage_quartile,Q1 (lowest),123,21,0.17073170731707317073,0.77605321507760532150
