dimension,segment,accounts,churned,churn_rate,lift_vs_overall,lift_rank
industry,DevTools,113,35,0.30973451327433628319,1.40788415124698310541,1
referral_source,event,96,29,0.30208333333333333333,1.37310606060606060605,2
signup_quarter,2023Q1,55,16,0.29090909090909090909,1.32231404958677685950,3
usage_quartile,Q3,125,36,0.28800000000000000000,1.30909090909090909091,4
signup_quarter,2023Q4,65,18,0.27692307692307692308,1.25874125874125874127,5
engagement_segment,Engaged Accounts,153,42,0.27450980392156862745,1.24777183600713012477,6
ticket_bucket,7+,51,14,0.27450980392156862745,1.24777183600713012477,6
tenure_bucket,18-24 months,113,30,0.26548672566371681416,1.20675784392598551891,8
breadth_quartile,Q3,149,39,0.26174496644295302013,1.18974984746796827332,9
is_trial,true,97,25,0.25773195876288659794,1.17150890346766635427,10
any_escalation,true,91,23,0.25274725274725274725,1.14885114885114885114,11
ticket_bucket,1-2,104,26,0.25000000000000000000,1.13636363636363636364,12
