group,window_days,eligible,retained,retention_rate,dimension
All,1,4955,4947,0.9983854692230071,overall
All,7,4751,4697,0.9886339717954115,overall
All,14,4523,4438,0.9812071633871324,overall
All,30,4066,3962,0.9744220363994097,overall
All,60,3450,3334,0.9663768115942029,overall
All,90,2954,2831,0.9583615436696006,overall
Basic,1,1588,1586,0.9987405541561712,plan_tier
Basic,7,1516,1503,0.991424802110818,plan_tier
Basic,14,1451,1424,0.9813921433494142,plan_tier
Basic,30,1326,1292,0.9743589743589743,plan_tier
Basic,60,1124,1087,0.9670818505338078,plan_tier
Basic,90,965,925,0.9585492227979274,plan_tier
Enterprise,1,1707,1705,0.9988283538371412,plan_tier
Enterprise,7,1644,1624,0.9878345498783455,plan_tier
Enterprise,14,1573,1546,0.9828353464717101,plan_tier
Enterprise,30,1406,1373,0.9765291607396871,plan_tier
Enterprise,60,1190,1156,0.9714285714285714,plan_tier
Enterprise,90,1005,965,0.9601990049751243,plan_tier
Pro,1,1660,1656,0.9975903614457832,plan_tier
Pro,7,1591,1570,0.9868007542426147,plan_tier
Pro,14,1499,1468,0.9793195463642428,plan_tier
Pro,30,1334,1297,0.972263868065967,plan_tier
Pro,60,1136,1091,0.960387323943662,plan_tier
Pro,90,984,941,0.9563008130081301,plan_tier
annual,1,2434,2428,0.9975349219391948,billing_frequency
annual,7,2331,2299,0.9862719862719863,billing_frequency
annual,14,2227,2176,0.9770992366412213,billing_frequency
annual,30,1998,1944,0.972972972972973,billing_frequency
annual,60,1686,1628,0.9655990510083037,billing_frequency
annual,90,1438,1375,0.9561891515994436,billing_frequency
monthly,1,2521,2519,0.9992066640222134,billing_frequency
monthly,7,2420,2398,0.990909090909091,billing_frequency
monthly,14,2296,2262,0.985191637630662,billing_frequency
monthly,30,2068,2018,0.9758220502901354,billing_frequency
monthly,60,1764,1706,0.9671201814058957,billing_frequency
monthly,90,1516,1456,0.9604221635883905,billing_frequency
ads,1,996,993,0.9969879518072289,referral_source
ads,7,968,955,0.9865702479338843,referral_source
ads,14,931,910,0.9774436090225563,referral_source
ads,30,840,819,0.975,referral_source
ads,60,750,721,0.9613333333333334,referral_source
ads,90,662,632,0.9546827794561934,referral_source
event,1,911,910,0.9989023051591658,referral_source
event,7,884,876,0.9909502262443439,referral_source
event,14,842,830,0.9857482185273159,referral_source
event,30,756,738,0.9761904761904762,referral_source
event,60,620,599,0.9661290322580646,referral_source
event,90,523,501,0.9579349904397706,referral_source
organic,1,1156,1155,0.9991349480968859,referral_source
organic,7,1086,1070,0.9852670349907919,referral_source
organic,14,1015,994,0.9793103448275862,referral_source
organic,30,907,879,0.9691289966923925,referral_source
organic,60,746,723,0.9691689008042895,referral_source
organic,90,627,603,0.9617224880382775,referral_source
other,1,1019,1018,0.9990186457311089,referral_source
other,7,969,960,0.9907120743034056,referral_source
other,14,930,911,0.9795698924731183,referral_source
other,30,829,810,0.97708082026538,referral_source
other,60,698,675,0.9670487106017192,referral_source
other,90,593,566,0.954468802698145,referral_source
partner,1,873,871,0.997709049255441,referral_source
partner,7,844,836,0.990521327014218,referral_source
partner,14,805,793,0.9850931677018634,referral_source
partner,30,734,716,0.9754768392370572,referral_source
partner,60,636,616,0.9685534591194969,referral_source
partner,90,549,529,0.9635701275045537,referral_source
False,1,4184,4176,0.9980879541108987,is_trial
False,7,4010,3961,0.9877805486284289,is_trial
False,14,3809,3735,0.9805723286951956,is_trial
False,30,3428,3338,0.9737456242707118,is_trial
False,60,2900,2806,0.9675862068965517,is_trial
False,90,2486,2385,0.9593724859211585,is_trial
True,1,771,771,1.0,is_trial
True,7,741,736,0.9932523616734144,is_trial
True,14,714,703,0.9845938375350141,is_trial
True,30,638,624,0.9780564263322884,is_trial
True,60,550,528,0.96,is_trial
True,90,468,446,0.9529914529914529,is_trial
Q1 (lowest),1,615,613,0.9967479674796748,breadth_quartile
Q1 (lowest),7,583,575,0.9862778730703259,breadth_quartile
Q1 (lowest),14,551,543,0.985480943738657,breadth_quartile
Q1 (lowest),30,476,472,0.9915966386554622,breadth_quartile
Q1 (lowest),60,397,391,0.9848866498740554,breadth_quartile
Q1 (lowest),90,350,339,0.9685714285714285,breadth_quartile
Q2,1,930,930,1.0,breadth_quartile
Q2,7,880,871,0.9897727272727272,breadth_quartile
Q2,14,825,806,0.9769696969696969,breadth_quartile
Q2,30,735,710,0.9659863945578231,breadth_quartile
Q2,60,617,590,0.9562398703403565,breadth_quartile
Q2,90,530,508,0.9584905660377359,breadth_quartile
Q3,1,1593,1590,0.9981167608286252,breadth_quartile
Q3,7,1522,1510,0.9921156373193167,breadth_quartile
Q3,14,1463,1441,0.9849624060150376,breadth_quartile
Q3,30,1352,1318,0.9748520710059172,breadth_quartile
Q3,60,1150,1112,0.9669565217391304,breadth_quartile
Q3,90,987,942,0.9544072948328267,breadth_quartile
Q4 (highest),1,1817,1814,0.9983489268024216,breadth_quartile
Q4 (highest),7,1766,1741,0.9858437146092865,breadth_quartile
Q4 (highest),14,1684,1648,0.9786223277909739,breadth_quartile
Q4 (highest),30,1503,1462,0.9727212242182302,breadth_quartile
Q4 (highest),60,1286,1241,0.9650077760497667,breadth_quartile
Q4 (highest),90,1087,1042,0.9586016559337627,breadth_quartile
Power Accounts,1,1350,1347,0.9977777777777778,engagement_segment
Power Accounts,7,1315,1294,0.9840304182509506,engagement_segment
Power Accounts,14,1253,1225,0.9776536312849162,engagement_segment
Power Accounts,30,1118,1086,0.9713774597495528,engagement_segment
Power Accounts,60,969,930,0.9597523219814241,engagement_segment
Power Accounts,90,822,783,0.9525547445255474,engagement_segment
Engaged Accounts,1,1738,1736,0.998849252013809,engagement_segment
Engaged Accounts,7,1664,1652,0.9927884615384616,engagement_segment
Engaged Accounts,14,1595,1571,0.9849529780564263,engagement_segment
Engaged Accounts,30,1461,1431,0.9794661190965093,engagement_segment
Engaged Accounts,60,1233,1198,0.9716139497161395,engagement_segment
Engaged Accounts,90,1053,1018,0.9667616334283001,engagement_segment
Casual Accounts,1,1120,1118,0.9982142857142857,engagement_segment
Casual Accounts,7,1066,1056,0.9906191369606003,engagement_segment
Casual Accounts,14,1007,989,0.9821251241310824,engagement_segment
Casual Accounts,30,910,878,0.9648351648351648,engagement_segment
Casual Accounts,60,769,741,0.9635890767230169,engagement_segment
Casual Accounts,90,667,631,0.9460269865067467,engagement_segment
Low-Engagement Accounts,1,747,746,0.998661311914324,engagement_segment
Low-Engagement Accounts,7,706,695,0.9844192634560907,engagement_segment
Low-Engagement Accounts,14,668,653,0.9775449101796407,engagement_segment
Low-Engagement Accounts,30,577,567,0.9826689774696707,engagement_segment
Low-Engagement Accounts,60,479,465,0.9707724425887265,engagement_segment
Low-Engagement Accounts,90,412,399,0.9684466019417476,engagement_segment
2023Q1,1,31,31,1.0,start_quarter
2023Q1,7,31,31,1.0,start_quarter
2023Q1,14,31,31,1.0,start_quarter
2023Q1,30,31,31,1.0,start_quarter
2023Q1,60,31,31,1.0,start_quarter
2023Q1,90,31,31,1.0,start_quarter
2023Q2,1,106,106,1.0,start_quarter
2023Q2,7,106,105,0.9905660377358491,start_quarter
2023Q2,14,106,105,0.9905660377358491,start_quarter
2023Q2,30,106,105,0.9905660377358491,start_quarter
2023Q2,60,106,105,0.9905660377358491,start_quarter
2023Q2,90,106,105,0.9905660377358491,start_quarter
2023Q3,1,203,203,1.0,start_quarter
2023Q3,7,203,202,0.9950738916256158,start_quarter
2023Q3,14,203,202,0.9950738916256158,start_quarter
2023Q3,30,203,201,0.9901477832512315,start_quarter
2023Q3,60,203,200,0.9852216748768473,start_quarter
2023Q3,90,203,196,0.9655172413793104,start_quarter
2023Q4,1,326,326,1.0,start_quarter
2023Q4,7,326,326,1.0,start_quarter
2023Q4,14,326,326,1.0,start_quarter
2023Q4,30,326,324,0.9938650306748467,start_quarter
2023Q4,60,326,323,0.99079754601227,start_quarter
2023Q4,90,326,319,0.9785276073619632,start_quarter
2024Q1,1,472,472,1.0,start_quarter
2024Q1,7,472,471,0.9978813559322034,start_quarter
2024Q1,14,472,471,0.9978813559322034,start_quarter
2024Q1,30,472,468,0.9915254237288136,start_quarter
2024Q1,60,472,463,0.9809322033898306,start_quarter
2024Q1,90,472,457,0.9682203389830508,start_quarter
2024Q2,1,686,686,1.0,start_quarter
2024Q2,7,686,685,0.9985422740524781,start_quarter
2024Q2,14,686,684,0.9970845481049563,start_quarter
2024Q2,30,686,682,0.9941690962099126,start_quarter
2024Q2,60,686,675,0.9839650145772595,start_quarter
2024Q2,90,686,666,0.9708454810495627,start_quarter
2024Q3,1,1107,1107,1.0,start_quarter
2024Q3,7,1107,1103,0.996386630532972,start_quarter
2024Q3,14,1107,1096,0.990063233965673,start_quarter
2024Q3,30,1107,1082,0.9774164408310749,start_quarter
2024Q3,60,1107,1054,0.952122854561879,start_quarter
2024Q3,90,1107,1035,0.9349593495934959,start_quarter
2024Q4,1,2024,2016,0.9960474308300395,start_quarter
2024Q4,7,1820,1774,0.9747252747252747,start_quarter
2024Q4,14,1592,1523,0.9566582914572864,start_quarter
2024Q4,30,1135,1069,0.9418502202643172,start_quarter
2024Q4,60,519,483,0.930635838150289,start_quarter
2024Q4,90,23,22,0.9565217391304348,start_quarter
