account_id,account_name,industry,country,referral_source,plan_tier,seats,is_trial,churn_flag,signup_date,signup_month,tenure_days,n_churn_events,has_churn_event,first_churn_date,signup_quarter,tenure_bucket,first_trial_start,trial_converted,n_subscriptions,n_paid_subscriptions,n_trial_subscriptions,n_ended_subscriptions,n_upgrades,n_downgrades,annual_share,auto_renew_share,lifetime_mrr_booked,has_trial_subscription,any_upgrade,any_downgrade,highest_plan_tier,n_active_subscriptions,mrr_at_snapshot,paid_seats_at_snapshot,usage_events,total_usage_count,distinct_features,total_errors,beta_event_share,total_duration_hours,avg_minutes_per_event,error_rate,n_tickets,n_escalations,n_high_urgent_tickets,avg_resolution_hours,avg_first_response_minutes,csat_responses,avg_satisfaction,any_escalation,ticket_bucket,breadth_quartile,usage_quartile,snapshot_date,engagement_segment,high_friction
A-2e4581,Company_0,EdTech,US,partner,Basic,9,False,False,2024-10-16,2024-10-01,76,2,True,2024-11-23,2024Q4,0-6 months,2024-10-30,True,10,8,2,0,1,0,0.3,0.8,12603,True,True,False,Enterprise,10,12603,237,55,535,27,38,0.07272727272727272,42.31638888888889,46.163333333333334,0.07102803738317758,2.0,0.0,2.0,23.0,91.0,1.0,3.0,False,1-2,Q2,Q3,2024-12-31,Engaged Accounts,True
A-43a9e3,Company_1,FinTech,IN,other,Basic,18,False,True,2023-08-17,2023-08-01,502,0,False,,2023Q3,12-18 months,,,8,8,0,0,3,0,0.75,0.75,10004,False,True,False,Enterprise,8,10004,176,35,355,23,14,0.05714285714285714,28.093333333333334,48.16,0.03943661971830986,3.0,0.0,2.0,38.0,73.33333333333333,3.0,4.0,False,3-4,Q1 (lowest),Q1 (lowest),2024-12-31,Low-Engagement Accounts,False
A-0a282f,Company_2,DevTools,US,organic,Basic,1,False,False,2024-08-27,2024-08-01,126,2,True,2024-10-06,2024Q3,0-6 months,2024-12-25,True,15,14,1,3,1,1,0.4666666666666667,1.0,18286,True,True,True,Enterprise,12,13311,249,83,821,34,48,0.060240963855421686,69.78055555555555,50.4437751004016,0.058465286236297195,3.0,0.0,1.0,43.666666666666664,63.666666666666664,3.0,4.666666666666667,False,3-4,Q4 (highest),Q4 (highest),2024-12-31,Power Accounts,False
A-1f0ac7,Company_3,HealthTech,UK,other,Basic,24,True,False,2023-08-27,2023-08-01,492,1,True,2024-11-08,2023Q3,12-18 months,2024-07-11,True,7,6,1,0,2,0,0.42857142857142855,0.7142857142857143,9275,True,True,False,Enterprise,7,9275,185,41,382,26,21,0.12195121951219512,28.48,41.6780487804878,0.0549738219895288,2.0,0.0,1.0,29.0,174.0,0.0,,False,1-2,Q2,Q2,2024-12-31,Casual Accounts,False
A-ce550d,Company_4,HealthTech,US,event,Enterprise,35,False,True,2024-10-27,2024-10-01,65,1,True,2024-12-28,2024Q4,0-6 months,2024-11-13,True,9,8,1,2,2,0,0.5555555555555556,0.6666666666666666,48761,True,True,False,Enterprise,7,25355,245,58,579,32,31,0.06896551724137931,59.93861111111111,62.005459770114946,0.0535405872193437,7.0,1.0,4.0,42.285714285714285,107.85714285714286,5.0,3.8,True,7+,Q4 (highest),Q3,2024-12-31,Engaged Accounts,True
A-1b9609,Company_5,EdTech,IN,ads,Enterprise,4,False,False,2023-10-12,2023-10-01,446,3,True,2024-01-02,2023Q4,12-18 months,2024-10-03,False,11,10,1,1,0,0,0.5454545454545454,0.8181818181818182,16810,True,False,False,Enterprise,10,16614,186,47,457,28,21,0.1276595744680851,39.03916666666667,49.83723404255319,0.045951859956236324,4.0,0.0,3.0,43.0,74.75,1.0,3.0,False,3-4,Q3,Q2,2024-12-31,Casual Accounts,False
A-a0ca4e,Company_6,Cybersecurity,US,ads,Pro,11,False,False,2024-03-08,2024-03-01,298,0,False,,2024Q1,6-12 months,2024-11-19,True,9,8,1,0,0,0,0.7777777777777778,0.8888888888888888,16633,True,False,False,Enterprise,9,16633,157,39,373,26,14,0.07692307692307693,32.49,49.98461538461538,0.03753351206434316,6.0,3.0,2.0,39.166666666666664,89.83333333333333,5.0,3.8,True,5-6,Q2,Q2,2024-12-31,Casual Accounts,True
A-e5d6ab,Company_7,EdTech,US,partner,Pro,3,False,False,2023-04-15,2023-04-01,626,2,True,2023-04-24,2023Q2,18-24 months,2023-09-16,True,10,9,1,1,0,0,0.5,0.9,13048,True,False,False,Enterprise,9,12383,137,41,382,29,23,0.12195121951219512,30.97388888888889,45.327642276422765,0.060209424083769635,3.0,0.0,2.0,42.666666666666664,57.0,0.0,,False,3-4,Q3,Q2,2024-12-31,Casual Accounts,False
A-7dacce,Company_8,Cybersecurity,CA,event,Enterprise,12,False,True,2024-09-10,2024-09-01,112,3,True,2024-09-18,2024Q3,0-6 months,2024-09-10,True,10,7,3,0,1,0,0.8,0.7,23057,True,True,False,Enterprise,10,23057,143,48,472,27,29,0.10416666666666667,40.39694444444444,50.49618055555556,0.0614406779661017,4.0,0.0,4.0,32.5,75.25,3.0,3.6666666666666665,False,3-4,Q2,Q2,2024-12-31,Casual Accounts,False
A-10b8da,Company_9,DevTools,US,partner,Enterprise,14,False,True,2023-05-08,2023-05-01,603,0,False,,2023Q2,18-24 months,2024-04-27,True,6,5,1,1,1,0,0.5,0.6666666666666666,8787,True,True,False,Enterprise,5,5404,76,27,257,23,14,0.07407407407407407,20.505,45.56666666666667,0.054474708171206226,3.0,0.0,2.0,31.333333333333332,71.33333333333333,2.0,3.5,False,3-4,Q1 (lowest),Q1 (lowest),2024-12-31,Low-Engagement Accounts,False
