group,window_days,eligible,retained,retention_rate,dimension
All,30,483,404,0.8364389233954451,overall
All,60,452,337,0.745575221238938,overall
All,90,422,289,0.6848341232227488,overall
All,180,351,197,0.5612535612535613,overall
All,365,228,95,0.4166666666666667,overall
2023Q1,30,55,50,0.9090909090909091,signup_quarter
2023Q1,60,55,49,0.8909090909090909,signup_quarter
2023Q1,90,55,45,0.8181818181818182,signup_quarter
2023Q1,180,55,35,0.6363636363636364,signup_quarter
2023Q1,365,55,20,0.36363636363636365,signup_quarter
2023Q2,30,54,53,0.9814814814814815,signup_quarter
2023Q2,60,54,51,0.9444444444444444,signup_quarter
2023Q2,90,54,47,0.8703703703703703,signup_quarter
2023Q2,180,54,45,0.8333333333333334,signup_quarter
2023Q2,365,54,38,0.7037037037037037,signup_quarter
2023Q3,30,53,49,0.9245283018867925,signup_quarter
2023Q3,60,53,47,0.8867924528301887,signup_quarter
2023Q3,90,53,45,0.8490566037735849,signup_quarter
2023Q3,180,53,35,0.660377358490566,signup_quarter
2023Q3,365,53,21,0.39622641509433965,signup_quarter
2023Q4,30,65,58,0.8923076923076924,signup_quarter
2023Q4,60,65,52,0.8,signup_quarter
2023Q4,90,65,48,0.7384615384615385,signup_quarter
2023Q4,180,65,36,0.5538461538461539,signup_quarter
2023Q4,365,65,15,0.23076923076923078,signup_quarter
2024Q1,30,56,48,0.8571428571428571,signup_quarter
2024Q1,60,56,43,0.7678571428571429,signup_quarter
2024Q1,90,56,39,0.6964285714285714,signup_quarter
2024Q1,180,56,24,0.42857142857142855,signup_quarter
2024Q1,365,1,1,1.0,signup_quarter
2024Q2,30,65,53,0.8153846153846154,signup_quarter
2024Q2,60,65,41,0.6307692307692307,signup_quarter
2024Q2,90,65,35,0.5384615384615384,signup_quarter
2024Q2,180,65,22,0.3384615384615385,signup_quarter
2024Q3,30,72,51,0.7083333333333334,signup_quarter
2024Q3,60,72,41,0.5694444444444444,signup_quarter
2024Q3,90,72,30,0.4166666666666667,signup_quarter
2024Q3,180,3,0,0.0,signup_quarter
2024Q4,30,63,42,0.6666666666666666,signup_quarter
2024Q4,60,32,13,0.40625,signup_quarter
2024Q4,90,2,0,0.0,signup_quarter
ads,30,96,87,0.90625,referral_source
ads,60,92,75,0.8152173913043478,referral_source
ads,90,89,64,0.7191011235955056,referral_source
ads,180,79,47,0.5949367088607594,referral_source
ads,365,48,26,0.5416666666666666,referral_source
event,30,93,76,0.8172043010752689,referral_source
event,60,87,66,0.7586206896551724,referral_source
event,90,79,57,0.7215189873417721,referral_source
event,180,66,37,0.5606060606060606,referral_source
event,365,44,16,0.36363636363636365,referral_source
organic,30,110,91,0.8272727272727273,referral_source
organic,60,97,70,0.7216494845360825,referral_source
organic,90,91,58,0.6373626373626373,referral_source
organic,180,72,41,0.5694444444444444,referral_source
organic,365,43,18,0.4186046511627907,referral_source
other,30,99,82,0.8282828282828283,referral_source
other,60,94,68,0.723404255319149,referral_source
other,90,87,59,0.6781609195402298,referral_source
other,180,72,39,0.5416666666666666,referral_source
other,365,47,16,0.3404255319148936,referral_source
partner,30,85,68,0.8,referral_source
partner,60,82,58,0.7073170731707317,referral_source
partner,90,76,51,0.6710526315789473,referral_source
partner,180,62,33,0.532258064516129,referral_source
partner,365,46,19,0.41304347826086957,referral_source
Basic,30,161,137,0.8509316770186336,plan_tier
Basic,60,147,112,0.7619047619047619,plan_tier
Basic,90,136,95,0.6985294117647058,plan_tier
Basic,180,110,62,0.5636363636363636,plan_tier
Basic,365,68,29,0.4264705882352941,plan_tier
Enterprise,30,149,125,0.8389261744966443,plan_tier
Enterprise,60,140,107,0.7642857142857142,plan_tier
Enterprise,90,133,91,0.6842105263157895,plan_tier
Enterprise,180,110,63,0.5727272727272728,plan_tier
Enterprise,365,75,31,0.41333333333333333,plan_tier
Pro,30,173,142,0.8208092485549133,plan_tier
Pro,60,165,118,0.7151515151515152,plan_tier
Pro,90,153,103,0.673202614379085,plan_tier
Pro,180,131,72,0.549618320610687,plan_tier
Pro,365,85,35,0.4117647058823529,plan_tier
Q1 (lowest),30,101,83,0.8217821782178217,breadth_quartile
Q1 (lowest),60,92,67,0.7282608695652174,breadth_quartile
Q1 (lowest),90,81,57,0.7037037037037037,breadth_quartile
Q1 (lowest),180,67,33,0.4925373134328358,breadth_quartile
Q1 (lowest),365,41,18,0.43902439024390244,breadth_quartile
Q2,30,101,83,0.8217821782178217,breadth_quartile
Q2,60,94,73,0.776595744680851,breadth_quartile
Q2,90,90,63,0.7,breadth_quartile
Q2,180,74,42,0.5675675675675675,breadth_quartile
Q2,365,50,17,0.34,breadth_quartile
Q3,30,145,126,0.8689655172413793,breadth_quartile
Q3,60,138,103,0.7463768115942029,breadth_quartile
Q3,90,130,87,0.6692307692307692,breadth_quartile
Q3,180,111,67,0.6036036036036037,breadth_quartile
Q3,365,74,35,0.47297297297297297,breadth_quartile
Q4 (highest),30,136,112,0.8235294117647058,breadth_quartile
Q4 (highest),60,128,94,0.734375,breadth_quartile
Q4 (highest),90,121,82,0.6776859504132231,breadth_quartile
Q4 (highest),180,99,55,0.5555555555555556,breadth_quartile
Q4 (highest),365,63,25,0.3968253968253968,breadth_quartile
Power Accounts,30,96,78,0.8125,engagement_segment
Power Accounts,60,90,66,0.7333333333333333,engagement_segment
Power Accounts,90,86,59,0.686046511627907,engagement_segment
Power Accounts,180,70,36,0.5142857142857142,engagement_segment
Power Accounts,365,41,14,0.34146341463414637,engagement_segment
Engaged Accounts,30,148,135,0.9121621621621622,engagement_segment
Engaged Accounts,60,141,110,0.7801418439716312,engagement_segment
Engaged Accounts,90,133,92,0.6917293233082706,engagement_segment
Engaged Accounts,180,113,72,0.6371681415929203,engagement_segment
Engaged Accounts,365,79,39,0.4936708860759494,engagement_segment
Casual Accounts,30,122,93,0.7622950819672131,engagement_segment
Casual Accounts,60,113,79,0.6991150442477876,engagement_segment
Casual Accounts,90,106,69,0.6509433962264151,engagement_segment
Casual Accounts,180,92,50,0.5434782608695652,engagement_segment
Casual Accounts,365,59,22,0.3728813559322034,engagement_segment
Low-Engagement Accounts,30,117,98,0.8376068376068376,engagement_segment
Low-Engagement Accounts,60,108,82,0.7592592592592593,engagement_segment
Low-Engagement Accounts,90,97,69,0.711340206185567,engagement_segment
Low-Engagement Accounts,180,76,39,0.5131578947368421,engagement_segment
Low-Engagement Accounts,365,49,20,0.40816326530612246,engagement_segment
