feature_name,plan_tier,adoption_rate
feature_1,Basic,0.35073068893528186
feature_10,Basic,0.2964509394572025
feature_11,Basic,0.3674321503131524
feature_12,Basic,0.3173277661795407
feature_13,Basic,0.37995824634655534
feature_14,Basic,0.3173277661795407
feature_15,Basic,0.3235908141962422
feature_16,Basic,0.348643006263048
feature_17,Basic,0.35073068893528186
feature_18,Basic,0.2860125260960334
feature_19,Basic,0.30062630480167013
feature_2,Basic,0.31315240083507306
feature_20,Basic,0.31941544885177453
feature_21,Basic,0.33194154488517746
feature_22,Basic,0.3465553235908142
feature_23,Basic,0.29436325678496866
feature_24,Basic,0.31524008350730687
feature_25,Basic,0.3444676409185804
feature_26,Basic,0.3465553235908142
feature_27,Basic,0.3048016701461378
feature_28,Basic,0.33611691022964507
feature_29,Basic,0.33820459290187893
feature_3,Basic,0.3068893528183716
feature_30,Basic,0.3089770354906054
feature_31,Basic,0.31524008350730687
feature_32,Basic,0.3444676409185804
feature_33,Basic,0.33194154488517746
feature_34,Basic,0.3569937369519833
feature_35,Basic,0.31106471816283926
feature_36,Basic,0.3235908141962422
feature_37,Basic,0.34029227557411273
feature_38,Basic,0.34237995824634654
feature_39,Basic,0.36325678496868474
feature_4,Basic,0.3173277661795407
feature_40,Basic,0.29018789144050106
feature_5,Basic,0.29436325678496866
feature_6,Basic,0.33820459290187893
feature_7,Basic,0.348643006263048
feature_8,Basic,0.34029227557411273
feature_9,Basic,0.3235908141962422
feature_1,Pro,0.339662447257384
feature_10,Pro,0.3438818565400844
feature_11,Pro,0.3459915611814346
feature_12,Pro,0.40717299578059074
feature_13,Pro,0.3143459915611814
feature_14,Pro,0.3291139240506329
feature_15,Pro,0.37341772151898733
feature_16,Pro,0.33544303797468356
feature_17,Pro,0.3438818565400844
feature_18,Pro,0.3270042194092827
feature_19,Pro,0.3206751054852321
feature_2,Pro,0.3628691983122363
feature_20,Pro,0.33122362869198313
feature_21,Pro,0.32489451476793246
feature_22,Pro,0.3291139240506329
feature_23,Pro,0.31645569620253167
feature_24,Pro,0.35864978902953587
feature_25,Pro,0.3270042194092827
feature_26,Pro,0.32489451476793246
feature_27,Pro,0.36075949367088606
feature_28,Pro,0.35864978902953587
feature_29,Pro,0.3691983122362869
feature_3,Pro,0.3270042194092827
feature_30,Pro,0.35654008438818563
feature_31,Pro,0.3459915611814346
feature_32,Pro,0.33755274261603374
feature_33,Pro,0.350210970464135
feature_34,Pro,0.350210970464135
feature_35,Pro,0.3270042194092827
feature_36,Pro,0.3755274261603376
feature_37,Pro,0.33755274261603374
feature_38,Pro,0.3438818565400844
feature_39,Pro,0.310126582278481
feature_4,Pro,0.3924050632911392
feature_40,Pro,0.36075949367088606
feature_5,Pro,0.3333333333333333
feature_6,Pro,0.35654008438818563
feature_7,Pro,0.32489451476793246
feature_8,Pro,0.3333333333333333
feature_9,Pro,0.3438818565400844
feature_1,Enterprise,0.3368200836820084
feature_10,Enterprise,0.38284518828451886
feature_11,Enterprise,0.3389121338912134
feature_12,Enterprise,0.3682008368200837
feature_13,Enterprise,0.3158995815899582
feature_14,Enterprise,0.3577405857740586
feature_15,Enterprise,0.3577405857740586
feature_16,Enterprise,0.3138075313807531
feature_17,Enterprise,0.3598326359832636
feature_18,Enterprise,0.3305439330543933
feature_19,Enterprise,0.3577405857740586
feature_2,Enterprise,0.39748953974895396
feature_20,Enterprise,0.3577405857740586
feature_21,Enterprise,0.3138075313807531
feature_22,Enterprise,0.3410041841004184
feature_23,Enterprise,0.2907949790794979
feature_24,Enterprise,0.3493723849372385
feature_25,Enterprise,0.32217573221757323
feature_26,Enterprise,0.3723849372384937
feature_27,Enterprise,0.34518828451882844
feature_28,Enterprise,0.3368200836820084
feature_29,Enterprise,0.3389121338912134
feature_3,Enterprise,0.3410041841004184
feature_30,Enterprise,0.3305439330543933
feature_31,Enterprise,0.3472803347280335
feature_32,Enterprise,0.37656903765690375
feature_33,Enterprise,0.35564853556485354
feature_34,Enterprise,0.3619246861924686
feature_35,Enterprise,0.3179916317991632
feature_36,Enterprise,0.3493723849372385
feature_37,Enterprise,0.35355648535564854
feature_38,Enterprise,0.36610878661087864
feature_39,Enterprise,0.3682008368200837
feature_4,Enterprise,0.3179916317991632
feature_40,Enterprise,0.35564853556485354
feature_5,Enterprise,0.34518828451882844
feature_6,Enterprise,0.3514644351464435
feature_7,Enterprise,0.34518828451882844
feature_8,Enterprise,0.30962343096234307
feature_9,Enterprise,0.35355648535564854
