usage_month,feature_name,usage_events,accounts,usage_count,errors,beta_events
2023-01-01,feature_1,34,33,346,6,4
2023-01-01,feature_10,32,32,342,20,6
2023-01-01,feature_11,31,29,297,19,3
2023-01-01,feature_12,25,25,249,8,2
2023-01-01,feature_13,25,25,244,22,4
2023-01-01,feature_14,26,25,241,12,2
2023-01-01,feature_15,18,17,182,3,3
2023-01-01,feature_16,26,26,304,9,0
2023-01-01,feature_17,30,29,331,18,3
2023-01-01,feature_18,30,30,302,21,4
2023-01-01,feature_19,27,27,288,13,1
2023-01-01,feature_2,24,24,245,26,2
2023-01-01,feature_20,27,27,272,10,2
2023-01-01,feature_21,29,28,302,16,3
2023-01-01,feature_22,36,36,362,15,9
2023-01-01,feature_23,24,24,229,9,2
2023-01-01,feature_24,26,25,246,9,3
2023-01-01,feature_25,20,20,183,10,0
2023-01-01,feature_26,34,33,340,25,1
2023-01-01,feature_27,27,26,299,28,3
2023-01-01,feature_28,25,25,254,17,2
2023-01-01,feature_29,24,24,244,24,1
2023-01-01,feature_3,26,26,290,12,2
2023-01-01,feature_30,24,24,248,9,2
2023-01-01,feature_31,25,23,268,24,3
2023-01-01,feature_32,25,24,226,26,3
2023-01-01,feature_33,25,25,256,2,1
2023-01-01,feature_34,32,31,335,21,6
2023-01-01,feature_35,29,28,289,6,4
2023-01-01,feature_36,26,26,278,16,4
2023-01-01,feature_37,27,27,272,11,4
2023-01-01,feature_38,25,25,253,18,1
2023-01-01,feature_39,22,21,216,2,2
2023-01-01,feature_4,26,26,295,11,7
2023-01-01,feature_40,32,31,294,20,6
2023-01-01,feature_5,23,23,224,13,1
2023-01-01,feature_6,20,19,223,19,5
2023-01-01,feature_7,28,28,268,9,5
2023-01-01,feature_8,27,27,286,14,3
2023-01-01,feature_9,27,25,254,19,6
2023-02-01,feature_1,15,14,163,5,4
2023-02-01,feature_10,29,28,298,19,2
2023-02-01,feature_11,17,16,167,15,1
2023-02-01,feature_12,28,27,270,22,2
2023-02-01,feature_13,32,29,319,17,3
2023-02-01,feature_14,23,23,205,14,5
2023-02-01,feature_15,30,30,324,13,5
2023-02-01,feature_16,28,27,262,20,3
2023-02-01,feature_17,34,33,303,27,2
2023-02-01,feature_18,24,24,240,14,1
2023-02-01,feature_19,27,27,258,17,3
2023-02-01,feature_2,24,24,241,13,0
2023-02-01,feature_20,22,22,228,7,1
2023-02-01,feature_21,27,25,274,17,2
2023-02-01,feature_22,16,16,162,11,0
2023-02-01,feature_23,24,24,230,15,1
2023-02-01,feature_24,25,24,243,16,3
2023-02-01,feature_25,24,23,236,18,1
2023-02-01,feature_26,27,26,250,17,4
2023-02-01,feature_27,22,22,221,13,1
2023-02-01,feature_28,22,21,205,8,2
2023-02-01,feature_29,30,30,293,20,3
2023-02-01,feature_3,16,16,137,6,3
2023-02-01,feature_30,26,25,262,19,3
2023-02-01,feature_31,23,23,223,16,3
2023-02-01,feature_32,24,24,235,12,3
2023-02-01,feature_33,24,24,230,10,2
2023-02-01,feature_34,20,20,188,16,2
2023-02-01,feature_35,25,24,225,14,2
2023-02-01,feature_36,24,23,220,19,3
2023-02-01,feature_37,19,19,195,14,2
2023-02-01,feature_38,28,27,293,16,1
2023-02-01,feature_39,20,20,190,20,2
2023-02-01,feature_4,28,27,291,24,7
2023-02-01,feature_40,26,25,227,8,6
2023-02-01,feature_5,14,13,150,10,1
2023-02-01,feature_6,27,27,266,12,2
2023-02-01,feature_7,27,27,261,12,2
2023-02-01,feature_8,27,26,271,15,2
2023-02-01,feature_9,22,20,236,21,0
2023-03-01,feature_1,30,30,292,20,5
2023-03-01,feature_10,29,27,307,16,3
2023-03-01,feature_11,19,19,197,6,0
2023-03-01,feature_12,39,39,385,14,2
2023-03-01,feature_13,25,25,228,15,0
2023-03-01,feature_14,29,29,262,11,4
2023-03-01,feature_15,30,30,305,17,5
2023-03-01,feature_16,26,24,252,11,2
2023-03-01,feature_17,34,32,357,11,1
2023-03-01,feature_18,29,28,294,17,3
2023-03-01,feature_19,26,24,247,19,1
2023-03-01,feature_2,19,19,175,10,2
2023-03-01,feature_20,25,25,248,11,3
2023-03-01,feature_21,23,23,245,18,2
2023-03-01,feature_22,31,28,309,13,2
2023-03-01,feature_23,31,30,307,15,6
2023-03-01,feature_24,29,28,309,21,3
2023-03-01,feature_25,27,26,266,8,2
2023-03-01,feature_26,24,24,248,10,1
2023-03-01,feature_27,21,20,190,17,5
2023-03-01,feature_28,34,33,337,14,4
2023-03-01,feature_29,31,29,293,9,3
2023-03-01,feature_3,26,26,267,13,1
2023-03-01,feature_30,28,26,293,12,2
2023-03-01,feature_31,28,26,296,24,2
2023-03-01,feature_32,30,29,303,17,5
2023-03-01,feature_33,25,23,253,19,1
2023-03-01,feature_34,29,29,282,16,4
2023-03-01,feature_35,34,34,332,19,4
2023-03-01,feature_36,26,25,262,22,1
2023-03-01,feature_37,36,35,347,15,1
2023-03-01,feature_38,23,23,208,19,5
2023-03-01,feature_39,24,22,273,10,1
2023-03-01,feature_4,26,26,287,20,3
2023-03-01,feature_40,20,20,231,15,1
2023-03-01,feature_5,25,24,263,17,3
2023-03-01,feature_6,28,27,271,24,4
2023-03-01,feature_7,20,20,191,5,2
2023-03-01,feature_8,29,28,269,9,3
2023-03-01,feature_9,35,33,350,22,1
2023-04-01,feature_1,27,26,289,19,3
2023-04-01,feature_10,27,26,265,10,2
2023-04-01,feature_11,28,28,292,15,3
2023-04-01,feature_12,23,23,202,7,3
2023-04-01,feature_13,28,28,272,27,4
2023-04-01,feature_14,21,20,206,6,2
2023-04-01,feature_15,28,28,273,25,3
2023-04-01,feature_16,19,19,194,16,1
2023-04-01,feature_17,28,26,297,17,4
2023-04-01,feature_18,22,22,193,13,1
2023-04-01,feature_19,27,24,271,4,2
2023-04-01,feature_2,19,19,207,3,2
2023-04-01,feature_20,35,32,372,17,0
2023-04-01,feature_21,20,20,211,10,4
2023-04-01,feature_22,30,29,305,20,9
2023-04-01,feature_23,23,23,233,23,1
2023-04-01,feature_24,39,38,409,20,8
2023-04-01,feature_25,25,25,260,22,2
2023-04-01,feature_26,29,28,268,12,2
2023-04-01,feature_27,28,27,280,16,3
2023-04-01,feature_28,26,25,274,17,2
2023-04-01,feature_29,18,18,156,10,5
2023-04-01,feature_3,17,15,167,12,2
2023-04-01,feature_30,29,27,269,14,4
2023-04-01,feature_31,33,32,317,14,5
2023-04-01,feature_32,21,20,210,17,1
2023-04-01,feature_33,19,17,188,13,1
2023-04-01,feature_34,20,20,200,10,2
2023-04-01,feature_35,22,22,222,12,2
2023-04-01,feature_36,29,29,289,9,7
2023-04-01,feature_37,23,22,223,9,2
2023-04-01,feature_38,29,29,294,21,5
