cohort,months_since_start,retention_rate,cohort_size
2023-01-01,0,1.0,3
2023-02-01,0,1.0,11
2023-03-01,0,1.0,17
2023-04-01,0,1.0,31
2023-05-01,0,1.0,29
2023-06-01,0,1.0,46
2023-07-01,0,1.0,59
2023-08-01,0,1.0,82
2023-09-01,0,1.0,62
2023-10-01,0,1.0,84
2023-11-01,0,1.0,121
2023-12-01,0,1.0,121
2024-01-01,0,1.0,134
2024-02-01,0,1.0,152
2024-03-01,0,1.0,186
2024-04-01,0,1.0,193
2024-05-01,0,1.0,245
2024-06-01,0,1.0,248
2024-07-01,0,1.0,330
2024-08-01,0,1.0,337
2024-09-01,0,1.0,440
2024-10-01,0,1.0,504
2024-11-01,0,1.0,612
2024-12-01,0,1.0,953
2023-01-01,1,1.0,3
2023-02-01,1,1.0,11
2023-03-01,1,1.0,17
2023-04-01,1,0.967741935483871,31
2023-05-01,1,1.0,29
2023-06-01,1,1.0,46
2023-07-01,1,0.9830508474576272,59
2023-08-01,1,1.0,82
2023-09-01,1,0.9838709677419355,62
2023-10-01,1,1.0,84
2023-11-01,1,0.9917355371900827,121
2023-12-01,1,0.9917355371900827,121
2024-01-01,1,0.9776119402985075,134
2024-02-01,1,0.993421052631579,152
2024-03-01,1,1.0,186
2024-04-01,1,0.9948186528497409,193
2024-05-01,1,1.0,245
2024-06-01,1,0.9879032258064516,248
2024-07-01,1,0.9939393939393939,330
2024-08-01,1,0.973293768545994,337
2024-09-01,1,0.9659090909090909,440
2024-10-01,1,0.9642857142857143,504
2024-11-01,1,0.923202614379085,612
2023-01-01,2,1.0,3
2023-02-01,2,1.0,11
2023-03-01,2,1.0,17
2023-04-01,2,0.967741935483871,31
2023-05-01,2,1.0,29
2023-06-01,2,1.0,46
2023-07-01,2,0.9830508474576272,59
2023-08-01,2,1.0,82
2023-09-01,2,0.9516129032258065,62
2023-10-01,2,0.9880952380952381,84
2023-11-01,2,0.9834710743801653,121
2023-12-01,2,0.9917355371900827,121
2024-01-01,2,0.9701492537313433,134
2024-02-01,2,0.9802631578947368,152
2024-03-01,2,0.989247311827957,186
2024-04-01,2,0.9844559585492227,193
2024-05-01,2,0.9959183673469387,245
2024-06-01,2,0.9717741935483871,248
2024-07-01,2,0.9787878787878788,330
2024-08-01,2,0.9495548961424333,337
2024-09-01,2,0.9272727272727272,440
2024-10-01,2,0.9305555555555556,504
2023-01-01,3,1.0,3
2023-02-01,3,1.0,11
2023-03-01,3,1.0,17
2023-04-01,3,0.967741935483871,31
2023-05-01,3,1.0,29
2023-06-01,3,1.0,46
2023-07-01,3,0.9661016949152542,59
2023-08-01,3,0.975609756097561,82
2023-09-01,3,0.9516129032258065,62
2023-10-01,3,0.9761904761904762,84
2023-11-01,3,0.9752066115702479,121
2023-12-01,3,0.9834710743801653,121
2024-01-01,3,0.9552238805970149,134
2024-02-01,3,0.9605263157894737,152
2024-03-01,3,0.9838709677419355,186
2024-04-01,3,0.9792746113989638,193
2024-05-01,3,0.9714285714285714,245
2024-06-01,3,0.9637096774193549,248
2024-07-01,3,0.9666666666666667,330
2024-08-01,3,0.9317507418397626,337
2024-09-01,3,0.9136363636363637,440
2023-01-01,4,1.0,3
2023-02-01,4,0.9090909090909091,11
2023-03-01,4,1.0,17
2023-04-01,4,0.967741935483871,31
2023-05-01,4,1.0,29
2023-06-01,4,1.0,46
2023-07-01,4,0.9661016949152542,59
2023-08-01,4,0.9634146341463414,82
2023-09-01,4,0.9193548387096774,62
2023-10-01,4,0.9523809523809523,84
2023-11-01,4,0.9669421487603306,121
2023-12-01,4,0.9586776859504132,121
2024-01-01,4,0.9402985074626866,134
2024-02-01,4,0.9407894736842105,152
2024-03-01,4,0.9838709677419355,186
2024-04-01,4,0.9533678756476683,193
2024-05-01,4,0.963265306122449,245
2024-06-01,4,0.9556451612903226,248
2024-07-01,4,0.9515151515151515,330
2024-08-01,4,0.9258160237388724,337
2023-01-01,5,1.0,3
2023-02-01,5,0.9090909090909091,11
2023-03-01,5,1.0,17
2023-04-01,5,0.967741935483871,31
2023-05-01,5,1.0,29
2023-06-01,5,0.9782608695652174,46
2023-07-01,5,0.9322033898305084,59
2023-08-01,5,0.9634146341463414,82
2023-09-01,5,0.9193548387096774,62
2023-10-01,5,0.9404761904761905,84
2023-11-01,5,0.9669421487603306,121
2023-12-01,5,0.9586776859504132,121
2024-01-01,5,0.9253731343283582,134
2024-02-01,5,0.9276315789473685,152
2024-03-01,5,0.9838709677419355,186
2024-04-01,5,0.9378238341968912,193
2024-05-01,5,0.9428571428571428,245
2024-06-01,5,0.9435483870967742,248
2024-07-01,5,0.9424242424242424,330
2023-01-01,6,1.0,3
2023-02-01,6,0.9090909090909091,11
2023-03-01,6,1.0,17
2023-04-01,6,0.967741935483871,31
2023-05-01,6,1.0,29
2023-06-01,6,0.9782608695652174,46
2023-07-01,6,0.9322033898305084,59
2023-08-01,6,0.9512195121951219,82
2023-09-01,6,0.8870967741935484,62
2023-10-01,6,0.9404761904761905,84
2023-11-01,6,0.9669421487603306,121
2023-12-01,6,0.9504132231404959,121
2024-01-01,6,0.917910447761194,134
2024-02-01,6,0.9144736842105263,152
2024-03-01,6,0.978494623655914,186
2024-04-01,6,0.9222797927461139,193
2024-05-01,6,0.9346938775510204,245
2024-06-01,6,0.9314516129032258,248
2023-01-01,7,1.0,3
2023-02-01,7,0.8181818181818182,11
2023-03-01,7,1.0,17
2023-04-01,7,0.967741935483871,31
2023-05-01,7,0.9655172413793104,29
2023-06-01,7,0.9782608695652174,46
2023-07-01,7,0.9152542372881356,59
2023-08-01,7,0.9512195121951219,82
2023-09-01,7,0.8548387096774194,62
2023-10-01,7,0.9404761904761905,84
2023-11-01,7,0.9669421487603306,121
2023-12-01,7,0.9504132231404959,121
2024-01-01,7,0.917910447761194,134
2024-02-01,7,0.9078947368421053,152
2024-03-01,7,0.967741935483871,186
2024-04-01,7,0.9119170984455959,193
2024-05-01,7,0.9183673469387755,245
2023-01-01,8,1.0,3
2023-02-01,8,0.8181818181818182,11
2023-03-01,8,1.0,17
2023-04-01,8,0.967741935483871,31
2023-05-01,8,0.9655172413793104,29
2023-06-01,8,0.9782608695652174,46
2023-07-01,8,0.9152542372881356,59
2023-08-01,8,0.9512195121951219,82
2023-09-01,8,0.8548387096774194,62
2023-10-01,8,0.9285714285714286,84
2023-11-01,8,0.9338842975206612,121
2023-12-01,8,0.9421487603305785,121
2024-01-01,8,0.917910447761194,134
2024-02-01,8,0.9013157894736842,152
2024-03-01,8,0.9516129032258065,186
